trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.813779,chroma_only,9,True,0.85,,192.18820000241976,0.8675,0.84925,0.8628763647882708,0.4914613095238088,0.82,2,120,52,26,131,133
1,0.814932,chroma_only,9,True,0.9,,183.37820000306237,0.8675,0.8481249999999999,0.8620632485492966,0.47605654761904703,0.82,2,120,48,24,164,95
2,0.813602,chroma_only,9,True,0.85,,184.14510000002338,0.8675,0.8472916666666667,0.861467897317154,0.4864970238095232,0.82,2,120,48,26,90,106
3,0.814196,chroma_only,9,True,0.9,,184.94490000011865,0.8675,0.84925,0.8628763647882708,0.48729464285714214,0.82,1,120,48,26,125,154
4,0.811459,chroma_only,9,True,0.9,,183.30179999611573,0.865,0.84675,0.8603763647882708,0.48966071428571356,0.82,1,120,56,24,99,136
5,0.813043,chroma_only,9,True,0.85,,187.4083000002429,0.8675,0.84925,0.8628763647882708,0.49882242063492,0.82,3,120,56,26,104,128
6,0.814099,chroma_only,9,True,0.9,,180.83649999607587,0.8675,0.8481249999999999,0.8620632485492966,0.48438988095238045,0.82,2,120,52,24,100,88
7,0.814669,chroma_only,9,True,0.85,,173.26029999821912,0.8675,0.8508333333333333,0.864081908386256,0.4881398809523803,0.82,3,120,56,24,173,58
8,0.817228,chroma_only,9,True,0.9,,171.17780000262428,0.87,0.8514583333333333,0.8651585997814395,0.48095734126984085,0.82,1,120,48,24,186,48
9,0.813779,chroma_only,9,True,0.85,,181.0477000035462,0.8675,0.84925,0.8628763647882708,0.4914613095238088,0.82,3,120,52,26,198,157
10,0.817495,chroma_only,9,True,0.9,,160.26829999464098,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,226,41
11,0.817412,chroma_only,9,True,0.9,,168.3331999956863,0.87,0.8514583333333333,0.8651585997814395,0.4791170634920629,0.82,1,120,48,24,234,43
12,0.815397,chroma_only,9,True,0.9,,173.13130000547972,0.8675,0.8508333333333333,0.864081908386256,0.48086210317460265,0.82,1,120,48,24,240,66
13,0.817495,chroma_only,9,True,0.9,,160.56669999670703,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,238,41
14,0.814857,chroma_only,9,True,0.9,,174.03119999653427,0.8675,0.8495833333333332,0.8631592327701846,0.48191765873015835,0.82,1,120,48,24,213,77
15,0.817467,chroma_only,9,True,0.9,,170.13640000368468,0.87,0.8514583333333333,0.8651585997814395,0.4785615079365073,0.82,2,120,48,24,218,42
16,0.815397,chroma_only,9,True,0.9,,176.09919999813428,0.8675,0.8508333333333333,0.864081908386256,0.48086210317460265,0.82,1,120,48,24,217,64
17,0.814690,chroma_only,9,True,0.9,,183.9527000047383,0.8675,0.8495833333333332,0.8631592327701846,0.48358432539682494,0.82,1,120,48,24,204,78
18,0.811343,chroma_only,9,True,0.9,,182.43169999914244,0.865,0.8456249999999998,0.8595632485492967,0.4869434523809516,0.82,1,120,52,24,151,111
19,0.814652,chroma_only,9,True,0.9,,165.1112000035937,0.8675,0.8508333333333333,0.864081908386256,0.48831349206349145,0.82,2,120,56,24,228,56
20,0.814857,chroma_only,9,True,0.9,,177.57219999475637,0.8675,0.8495833333333332,0.8631592327701846,0.48191765873015835,0.82,2,120,48,24,189,76
21,0.817311,chroma_only,9,True,0.9,,180.36209999991115,0.87,0.8514583333333333,0.8651585997814395,0.4801240079365075,0.82,2,120,48,24,221,45
22,0.817495,chroma_only,9,True,0.9,,176.7554999969434,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,3,120,48,24,238,41
23,0.816613,chroma_only,9,True,0.9,,179.39250000199536,0.87,0.8502083333333332,0.8642359241653681,0.48275793650793597,0.82,3,120,48,24,239,53
24,0.815397,chroma_only,9,True,0.9,,183.48839999816846,0.8675,0.8508333333333333,0.864081908386256,0.48086210317460265,0.82,3,120,48,24,203,66
25,0.817495,chroma_only,9,True,0.9,,175.16479999903822,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,225,40
26,0.816714,chroma_only,9,True,0.85,,186.28800000442425,0.87,0.8514583333333333,0.8651585997814395,0.4860912698412693,0.82,3,120,48,26,240,54
27,0.814935,chroma_only,9,True,0.9,,184.0706000002683,0.8675,0.8495833333333332,0.8631592327701846,0.4811398809523804,0.82,2,120,48,24,190,63
28,0.813700,chroma_only,9,True,0.9,,174.27689999749418,0.8675,0.8483333333333333,0.8622365571541131,0.4891398809523805,0.82,1,120,56,24,207,84
29,0.816533,chroma_only,9,True,0.85,,171.3921999980812,0.87,0.8514583333333333,0.8651585997814395,0.4879017857142852,0.82,3,120,52,26,176,50
30,0.814462,chroma_only,9,True,0.9,,177.46039999474306,0.8675,0.8495833333333332,0.8631592327701846,0.48586210317460254,0.82,1,120,52,24,229,72
31,0.817495,chroma_only,9,True,0.9,,167.28759999386966,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,228,41
32,0.817495,chroma_only,9,True,0.9,,174.66540000168607,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,223,40
33,0.817283,chroma_only,9,True,0.9,,175.74740000418387,0.87,0.8514583333333333,0.8651585997814395,0.4804017857142852,0.82,1,120,48,24,211,50
34,0.815308,chroma_only,9,True,0.9,,176.5716000008979,0.8675,0.8508333333333333,0.864081908386256,0.48175099206349153,0.82,2,120,48,24,127,58
35,0.813998,chroma_only,9,True,0.9,,183.44300000171643,0.8675,0.84925,0.8628763647882708,0.4892708333333327,0.82,1,120,48,26,230,116
36,0.815001,chroma_only,9,True,0.85,,181.6305000029388,0.8675,0.84925,0.8628763647882708,0.4792390873015867,0.82,1,120,48,24,154,146
37,0.814960,chroma_only,9,True,0.9,,179.1400000001886,0.8675,0.8481249999999999,0.8620632485492966,0.4757787698412692,0.82,2,120,48,24,136,94
38,0.816367,chroma_only,9,True,0.9,,166.09979999338975,0.87,0.8514583333333333,0.8651585997814395,0.489568452380952,0.82,1,120,56,26,199,49
39,0.815308,chroma_only,9,True,0.85,,176.9759000017075,0.8675,0.8508333333333333,0.864081908386256,0.48175099206349153,0.82,2,120,48,24,221,60
40,0.814879,chroma_only,9,True,0.9,,177.32970000361092,0.8675,0.8495833333333332,0.8631592327701846,0.48169543650793595,0.82,1,120,48,24,180,70
41,0.817228,chroma_only,9,True,0.9,,175.39469999610446,0.87,0.8514583333333333,0.8651585997814395,0.48095734126984085,0.82,1,120,48,24,231,49
42,0.817495,chroma_only,9,True,0.9,,165.63800000585616,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,225,40
43,0.817311,chroma_only,9,True,0.9,,175.02480000257492,0.87,0.8514583333333333,0.8651585997814395,0.4801240079365075,0.82,1,120,48,24,233,45
44,0.817495,chroma_only,9,True,0.9,,176.34579999867128,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,237,41
45,0.816798,chroma_only,9,True,0.9,,166.024500002095,0.87,0.8514583333333333,0.8651585997814395,0.48525793650793586,0.82,1,120,52,24,211,54
46,0.816394,chroma_only,9,True,0.9,,168.3481000000029,0.87,0.8514583333333333,0.8651585997814395,0.48929067460317405,0.82,1,120,56,26,216,46
47,0.812501,chroma_only,9,True,0.9,,182.31920000107493,0.865,0.84675,0.8603763647882708,0.4792390873015867,0.82,2,120,48,24,109,130
48,0.815336,chroma_only,9,True,0.85,,175.87339999590768,0.8675,0.8508333333333333,0.864081908386256,0.4814732142857137,0.82,1,120,48,24,165,58
49,0.811875,chroma_only,9,True,0.9,,178.7289999992936,0.865,0.8447916666666667,0.8589678973171541,0.4787708333333327,0.82,1,120,48,24,85,101
50,0.817311,chroma_only,9,True,0.9,,174.2078000024776,0.87,0.8514583333333333,0.8651585997814395,0.4801240079365075,0.82,1,120,48,24,197,45
51,0.817495,chroma_only,9,True,0.9,,166.414999999688,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,223,40
52,0.817495,chroma_only,9,True,0.9,,167.29859999759356,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,224,40
53,0.817283,chroma_only,9,True,0.9,,175.56139999942388,0.87,0.8514583333333333,0.8651585997814395,0.4804017857142852,0.82,1,120,48,24,233,50
54,0.817311,chroma_only,9,True,0.9,,175.59970000002068,0.87,0.8514583333333333,0.8651585997814395,0.4801240079365075,0.82,1,120,48,24,218,45
55,0.812494,chroma_only,9,True,0.9,,181.11009999847738,0.865,0.84675,0.8603763647882708,0.47930853174603105,0.82,3,120,48,24,240,121
56,0.816798,chroma_only,9,True,0.9,,164.04960000363644,0.87,0.8514583333333333,0.8651585997814395,0.48525793650793586,0.82,1,120,52,24,227,54
57,0.815308,chroma_only,9,True,0.9,,176.8134999947506,0.8675,0.8508333333333333,0.864081908386256,0.48175099206349153,0.82,1,120,48,24,209,60
58,0.816505,chroma_only,9,True,0.9,,166.2519000019529,0.87,0.8514583333333333,0.8651585997814395,0.48817956349206293,0.82,1,120,56,26,215,44
59,0.816641,chroma_only,9,True,0.85,,177.0981999943615,0.87,0.8502083333333332,0.8642359241653681,0.48248015873015815,0.82,2,120,48,24,235,52
60,0.815397,chroma_only,9,True,0.9,,178.37839999992866,0.8675,0.8508333333333333,0.864081908386256,0.48086210317460265,0.82,1,120,48,24,194,64
61,0.817495,chroma_only,9,True,0.9,,166.5995000003022,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,225,40
62,0.817200,chroma_only,9,True,0.9,,174.83760000322945,0.87,0.8514583333333333,0.8651585997814395,0.4812351190476185,0.82,1,120,48,24,221,47
63,0.817495,chroma_only,9,True,0.9,,165.78300000401214,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,3,120,48,24,228,40
64,0.817412,chroma_only,9,True,0.9,,169.78369999560528,0.87,0.8514583333333333,0.8651585997814395,0.4791170634920629,0.82,1,120,48,24,204,43
65,0.817200,chroma_only,9,True,0.9,,173.1182000003173,0.87,0.8514583333333333,0.8651585997814395,0.4812351190476185,0.82,1,120,48,24,236,47
66,0.815318,chroma_only,9,True,0.9,,182.45220000244444,0.8675,0.8508333333333333,0.864081908386256,0.4816468253968248,0.82,1,120,48,24,214,55
67,0.816613,chroma_only,9,True,0.9,,179.11739999544807,0.87,0.8502083333333332,0.8642359241653681,0.48275793650793597,0.82,1,120,48,24,226,52
68,0.809390,chroma_only,9,True,0.9,,191.89799999730894,0.8625,0.84425,0.8578763647882708,0.4853501984126978,0.82,1,120,52,24,219,142
69,0.816551,chroma_only,9,True,0.9,,175.77449999953387,0.87,0.8514583333333333,0.8651585997814395,0.4877281746031741,0.82,2,120,56,26,232,43
70,0.814851,chroma_only,9,True,0.85,,185.95259999710834,0.8675,0.8495833333333332,0.8631592327701846,0.4819732142857137,0.82,1,120,48,24,239,68
71,0.817495,chroma_only,9,True,0.9,,175.88229999819305,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,233,41
72,0.817228,chroma_only,9,True,0.9,,178.40530000103172,0.87,0.8514583333333333,0.8651585997814395,0.48095734126984085,0.82,1,120,48,24,236,48
73,0.817412,chroma_only,9,True,0.9,,181.33650000527268,0.87,0.8514583333333333,0.8651585997814395,0.4791170634920629,0.82,1,120,48,24,227,43
74,0.817283,chroma_only,9,True,0.9,,180.31019999762066,0.87,0.8514583333333333,0.8651585997814395,0.4804017857142852,0.82,1,120,48,24,237,50
75,0.817495,chroma_only,9,True,0.9,,177.59630000364268,0.87,0.8514583333333333,0.8651585997814395,0.4782837301587296,0.82,1,120,48,24,206,40
76,0.817200,chroma_only,9,True,0.9,,176.17489999975078,0.87,0.8514583333333333,0.8651585997814395,0.4812351190476185,0.82,1,120,48,24,140,47
77,0.815263,chroma_only,9,True,0.9,,184.88390000129584,0.8675,0.8508333333333333,0.864081908386256,0.4822023809523804,0.82,3,120,48,24,230,57
78,0.817412,chroma_only,9,True,0.9,,176.76750000100583,0.87,0.8514583333333333,0.8651585997814395,0.4791170634920629,0.82,1,120,48,24,221,43
79,0.814857,chroma_only,9,True,0.9,,186.2786000056076,0.8675,0.8495833333333332,0.8631592327701846,0.48191765873015835,0.82,1,120,48,24,117,82
