trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.454545,baseline,10,True,0.7000000000000001,280,584.1465000994503,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,3,120,120,28,180,40
1,0.606061,chroma_only,4,False,0.8,,158.40660000685602,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,180,54,24,140,140
2,0.454545,baseline,12,True,0.8,260,534.3760999385267,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,3,100,76,24,176,48
3,0.393939,baseline,8,True,0.0,140,545.7363000605255,0.3939393939393939,0.31746031746031744,0.3347196275014963,0.0,0.45454545454545453,3,120,34,32,100,80
4,0.454545,baseline,7,False,0.30000000000000004,320,28.66299997549504,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,3,100,44,36,220,40
5,0.454545,baseline,11,False,0.4,280,28.304899926297367,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,2,180,73,44,88,144
6,0.606061,chroma_only,4,False,0.30000000000000004,,161.79030004423112,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,80,94,16,120,100
7,0.606061,chroma_only,11,False,0.8,,140.99750004243106,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,1,120,63,40,188,64
8,0.606061,chroma_only,4,False,0.1,,127.47820001095533,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,180,74,44,220,40
9,0.454545,baseline,12,True,0.2,100,532.9496000194922,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,3,140,106,44,216,148
