trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.000000,baseline,8,False,0.30000000000000004,320,195.553999976255,0.0,0.0,0.0,0.875,0.0,2,180,84,40,140,80
1,0.000000,chroma_only,4,False,0.0,,189.6153000416234,0.0,0.0,0.0,0.75,0.0,1,180,44,36,140,40
2,0.000000,chroma_only,9,True,0.7000000000000001,,1029.3233999982476,0.0,0.0,0.0,0.8888888888888888,0.0,3,80,77,36,200,140
3,0.000000,baseline,10,True,0.5,240,801.6891999868676,0.0,0.0,0.0,0.8999999999999999,0.0,3,100,30,36,140,40
4,0.000000,baseline,4,False,0.2,100,197.33310001902282,0.0,0.0,0.0,0.75,0.0,1,140,104,40,100,80
5,0.000000,baseline,11,False,0.6000000000000001,140,235.51959998439997,0.0,0.0,0.0,0.9090909090909091,0.0,1,180,73,48,188,144
6,0.000000,chroma_only,11,False,0.8,,232.0177999790758,0.0,0.0,0.0,0.9090909090909091,0.0,1,180,63,44,228,124
7,0.000000,chroma_only,5,False,0.6000000000000001,,141.75489998888224,0.0,0.0,0.0,0.8000000000000002,0.0,1,100,64,24,220,160
8,0.000000,baseline,10,True,0.8,120,819.8969999793917,0.0,0.0,0.0,0.8999999999999999,0.0,2,140,50,32,100,60
9,0.000000,chroma_only,10,False,0.4,,111.77219997625798,0.0,0.0,0.0,0.8999999999999999,0.0,2,200,30,16,240,160
10,0.000000,baseline,7,True,0.2,320,765.8837999915704,0.0,0.0,0.0,0.8571428571428572,0.0,2,160,114,24,80,100
11,0.000000,chroma_only,7,False,0.0,,158.6947999894619,0.0,0.0,0.0,0.8571428571428572,0.0,2,200,94,28,140,40
12,0.000000,baseline,6,False,0.0,320,235.68299994803965,0.0,0.0,0.0,0.8333333333333335,0.0,3,160,44,48,160,80
13,0.000000,chroma_only,4,False,0.2,,211.22119994834065,0.0,0.0,0.0,0.75,0.0,1,180,84,40,140,60
14,0.000000,baseline,8,False,0.30000000000000004,240,168.7785000540316,0.0,0.0,0.0,0.875,0.0,2,120,44,32,120,100
15,0.000000,chroma_only,12,False,0.1,,204.1616999777034,0.0,0.0,0.0,0.9166666666666665,0.0,2,60,96,40,176,68
16,0.000000,chroma_only,6,False,0.4,,84.14980000816286,0.0,0.0,0.0,0.8333333333333335,0.0,1,160,54,12,160,40
17,0.000000,baseline,8,False,0.1,180,211.71249996405095,0.0,0.0,0.0,0.875,0.0,3,200,24,44,120,120
18,0.000000,baseline,5,True,0.30000000000000004,260,771.886800066568,0.0,0.0,0.0,0.8000000000000002,0.0,1,120,84,28,120,80
19,0.000000,chroma_only,7,False,0.1,,190.9233999904245,0.0,0.0,0.0,0.8571428571428572,0.0,2,180,54,36,160,100
20,0.000000,chroma_only,5,False,0.30000000000000004,,111.31840001326054,0.0,0.0,0.0,0.8000000000000002,0.0,2,160,34,20,80,60
21,0.000000,chroma_only,8,True,0.7000000000000001,,810.677699977532,0.0,0.0,0.0,0.875,0.0,3,60,74,36,200,120
22,0.000000,chroma_only,9,True,0.5,,1016.1316000157967,0.0,0.0,0.0,0.8888888888888888,0.0,3,80,87,36,200,140
23,0.000000,chroma_only,9,True,0.7000000000000001,,1053.9487999631092,0.0,0.0,0.0,0.8888888888888888,0.0,3,80,67,44,180,140
24,0.000000,chroma_only,9,True,0.6000000000000001,,976.5208000317216,0.0,0.0,0.0,0.8888888888888888,0.0,3,140,77,32,140,120
25,0.000000,chroma_only,12,True,0.5,,988.9135000994429,0.0,0.0,0.0,0.9166666666666665,0.0,2,100,96,40,216,88
26,0.000000,baseline,6,True,0.0,280,789.0492000151426,0.0,0.0,0.0,0.8333333333333335,0.0,1,80,114,36,160,40
27,0.000000,chroma_only,9,False,0.7000000000000001,,152.0007000071928,0.0,0.0,0.0,0.8888888888888888,0.0,2,120,77,28,180,60
28,0.000000,baseline,11,True,0.4,180,818.3306000428274,0.0,0.0,0.0,0.9090909090909091,0.0,3,200,63,44,128,104
29,0.000000,baseline,10,True,0.5,200,776.6203000210226,0.0,0.0,0.0,0.8999999999999999,0.0,3,180,90,32,100,40
30,0.000000,chroma_only,4,False,0.30000000000000004,,201.88940002117306,0.0,0.0,0.0,0.75,0.0,2,140,104,40,140,160
31,0.000000,baseline,10,True,0.5,240,791.7731000343338,0.0,0.0,0.0,0.8999999999999999,0.0,3,100,40,36,100,40
32,0.000000,baseline,11,True,0.6000000000000001,280,766.2580999312922,0.0,0.0,0.0,0.9090909090909091,0.0,3,80,33,40,148,64
33,0.000000,baseline,9,True,0.2,300,751.3442999916151,0.0,0.0,0.0,0.8888888888888888,0.0,3,100,27,36,200,80
34,0.000000,baseline,11,False,0.8,220,207.76160003151745,0.0,0.0,0.0,0.9090909090909091,0.0,1,60,43,44,128,44
35,0.000000,baseline,10,True,0.7000000000000001,160,837.4109000433236,0.0,0.0,0.0,0.8999999999999999,0.0,1,120,70,48,180,140
36,0.000000,baseline,8,False,0.5,280,159.11590005271137,0.0,0.0,0.0,0.875,0.0,3,100,54,32,240,60
37,0.000000,chroma_only,7,True,0.6000000000000001,,804.6216000802815,0.0,0.0,0.0,0.8571428571428572,0.0,1,80,24,40,220,40
38,0.000000,baseline,11,False,0.8,80,156.40970005188137,0.0,0.0,0.0,0.9090909090909091,0.0,3,140,63,32,148,84
39,0.000000,chroma_only,9,False,0.2,,131.72319997102022,0.0,0.0,0.0,0.8888888888888888,0.0,2,180,107,24,160,120
