trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.431254,baseline,9,True,0.4,160,58.506399975158274,0.4666666666666667,0.39499999999999996,0.43442034315629435,0.1462962962962963,0.48333333333333334,1,180,87,40,240,40
1,0.515854,chroma_only,12,True,0.6000000000000001,,104.83249998651445,0.5666666666666667,0.4506944444444444,0.49524376134048825,0.13333333333333333,0.48333333333333334,1,140,76,48,200,148
2,0.421213,chroma_only,5,False,0.1,,59.03609993401915,0.45,0.3736111111111111,0.4141197472178933,0.06333333333333331,0.48333333333333334,2,180,34,12,200,40
3,0.436440,baseline,6,True,0.6000000000000001,320,64.94279997423291,0.4666666666666667,0.39499999999999996,0.43442034315629435,0.09444444444444441,0.48333333333333334,3,80,64,36,140,140
4,0.492738,chroma_only,9,True,0.4,,81.51469996664673,0.5166666666666667,0.47222222222222227,0.4942441461309548,0.10555555555555557,0.48333333333333334,3,140,57,24,240,60
5,0.439756,baseline,12,False,0.8,180,27.263399912044406,0.48333333333333334,0.3965151515151515,0.43906939225047986,0.17361111111111113,0.48333333333333334,2,140,96,20,220,88
6,0.436884,baseline,5,True,0.2,280,41.41509998589754,0.4666666666666667,0.39499999999999996,0.43442034315629435,0.09000000000000002,0.48333333333333334,3,140,104,16,200,120
7,0.439756,baseline,12,True,0.6000000000000001,240,41.51299991644919,0.48333333333333334,0.3965151515151515,0.43906939225047986,0.17361111111111113,0.48333333333333334,3,200,86,44,240,48
8,0.433265,baseline,7,False,0.30000000000000004,160,21.99010003823787,0.4666666666666667,0.39499999999999996,0.43442034315629435,0.1261904761904762,0.48333333333333334,1,60,24,36,100,40
9,0.388633,baseline,12,True,0.30000000000000004,100,52.1186999976635,0.43333333333333335,0.34531144781144785,0.3693832489391025,0.14305555555555555,0.48333333333333334,1,60,36,20,200,88
10,0.437550,chroma_only,10,False,0.8,,42.76899993419647,0.48333333333333334,0.3771296296296296,0.4239546609175911,0.12666666666666665,0.48333333333333334,2,100,80,48,160,160
11,0.528396,chroma_only,10,True,0.6000000000000001,,81.010099966079,0.5666666666666667,0.48125,0.5190641699509829,0.11666666666666665,0.48333333333333334,2,120,60,28,240,80
12,0.528230,chroma_only,10,True,0.6000000000000001,,83.846400026232,0.5666666666666667,0.48125,0.5190641699509829,0.11833333333333333,0.48333333333333334,2,120,60,28,180,120
13,0.499143,chroma_only,10,True,0.5,,81.86639996711165,0.5333333333333333,0.45763888888888893,0.4914075984082912,0.10666666666666666,0.48333333333333334,2,100,50,28,140,120
14,0.543383,chroma_only,10,True,0.7000000000000001,,84.61520005948842,0.5833333333333334,0.4875,0.5294166388637745,0.1,0.48333333333333334,2,100,50,32,100,80
15,0.556130,chroma_only,8,True,0.7000000000000001,,122.49529990367591,0.6,0.49083333333333334,0.5325266323927158,0.08541666666666667,0.48333333333333334,2,100,44,32,100,80
16,0.540430,chroma_only,8,True,0.8,,90.8029000274837,0.5833333333333334,0.4766865079365079,0.5212953476555886,0.09166666666666666,0.48333333333333334,2,100,44,36,100,60
17,0.545288,chroma_only,7,True,0.7000000000000001,,106.48999991826713,0.5833333333333334,0.4875,0.5294166388637745,0.08095238095238097,0.48333333333333334,3,80,44,32,80,100
18,0.422130,chroma_only,4,False,0.0,,73.04759998805821,0.45,0.3736111111111111,0.4141197472178933,0.05416666666666667,0.48333333333333334,3,80,34,32,80,100
19,0.572400,chroma_only,7,True,0.7000000000000001,,78.38169997557998,0.6166666666666667,0.5019444444444444,0.545769980317102,0.07142857142857142,0.48333333333333334,3,80,24,40,80,100
