trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.495376,chroma_only,7,True,0.7000000000000001,,80.06930002011359,0.53,0.46414285714285713,0.492103902659766,0.08642857142857138,0.52,1,180,44,12,200,60
1,0.495290,chroma_only,11,True,0.8,,74.64320003055036,0.535,0.46918290043290045,0.4985232286869728,0.14136363636363636,0.52,1,60,43,44,80,64
2,0.461361,baseline,10,False,0.4,220,22.308200015686452,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,3,80,40,28,140,100
3,0.467268,baseline,10,True,0.6000000000000001,220,56.620400049723685,0.5,0.4488650793650793,0.47480632454254484,0.1365,0.52,1,60,50,36,240,100
4,0.461353,baseline,7,True,0.1,280,56.50279996916652,0.49,0.4411785714285714,0.4685203269460476,0.11071428571428563,0.52,3,60,54,16,80,160
5,0.460178,chroma_only,10,True,0.0,,80.01940010581166,0.485,0.4552361111111112,0.4657258728661986,0.12550000000000008,0.52,2,100,30,36,220,80
6,0.459136,baseline,9,False,0.1,280,24.181900080293417,0.495,0.43398412698412697,0.46611565570588787,0.13388888888888867,0.52,1,100,77,28,180,120
7,0.458510,baseline,7,False,0.30000000000000004,120,26.18290006648749,0.49,0.43342857142857144,0.46461050572756796,0.10999999999999989,0.52,1,180,44,36,240,60
8,0.431423,chroma_only,7,True,0.0,,90.7360001001507,0.47,0.41784523809523805,0.4344006205868626,0.09928571428571424,0.52,2,80,74,24,240,60
9,0.438201,chroma_only,10,True,0.7000000000000001,,89.94909992907196,0.49,0.41134523809523815,0.43733127356005164,0.12750000000000006,0.52,1,120,80,24,140,60
10,0.417975,chroma_only,4,False,0.6000000000000001,,47.87039989605546,0.44,0.39708333333333334,0.41681593358538827,0.055,0.52,2,200,154,12,220,40
11,0.454090,chroma_only,12,True,0.8,,72.5032000336796,0.515,0.4054307359307359,0.44026092389034915,0.1483333333333333,0.52,1,160,116,48,180,48
12,0.490673,chroma_only,4,True,0.8,,89.49269994627684,0.515,0.47791666666666666,0.499007902027164,0.05125,0.52,1,140,24,48,200,80
13,0.447063,chroma_only,12,True,0.6000000000000001,,82.54159998614341,0.505,0.4034329004329005,0.43983883756763953,0.14666666666666658,0.52,2,200,186,44,200,88
14,0.419496,chroma_only,6,True,0.5,,74.84139990992844,0.445,0.4029166666666666,0.41906870792075396,0.08499999999999996,0.52,2,160,104,16,160,120
15,0.459564,chroma_only,8,True,0.8,,84.28029995411634,0.5,0.43435119047619053,0.45785707027472133,0.108125,0.52,1,160,64,40,220,40
16,0.508045,chroma_only,5,True,0.7000000000000001,,79.76999995298684,0.535,0.4834166666666666,0.5059628109485587,0.06799999999999996,0.52,1,120,34,20,120,60
17,0.453729,chroma_only,5,True,0.4,,82.79449993278831,0.465,0.4570833333333333,0.4616173290939388,0.06699999999999996,0.52,3,140,34,12,160,160
18,0.415875,chroma_only,5,False,0.7000000000000001,,44.33840001001954,0.44,0.39708333333333334,0.41681593358538827,0.07599999999999997,0.52,1,120,24,20,140,120
19,0.427155,chroma_only,6,True,0.30000000000000004,,62.19009996857494,0.46,0.40075000000000005,0.41987150002927204,0.07999999999999996,0.52,2,180,94,20,200,40
20,0.429728,chroma_only,8,True,0.5,,65.13699993956834,0.47,0.4007738095238096,0.4238900233552779,0.114375,0.52,2,180,124,16,220,80
21,0.486859,chroma_only,6,True,0.7000000000000001,,75.6993000395596,0.515,0.46199999999999997,0.4854372359930993,0.07499999999999997,0.52,1,100,44,12,100,60
22,0.497846,chroma_only,11,True,0.7000000000000001,,77.47420005034655,0.54,0.4684761904761905,0.49817980637646997,0.13818181818181827,0.52,1,80,43,32,100,64
23,0.512233,chroma_only,8,True,0.7000000000000001,,75.00810001511127,0.55,0.48221428571428576,0.5117164217827067,0.1125,0.52,1,80,34,32,120,80
24,0.491319,chroma_only,9,True,0.5,,75.59070002753288,0.53,0.46464285714285714,0.4875225071630161,0.11722222222222207,0.52,1,80,37,32,100,80
25,0.510080,chroma_only,11,True,0.6000000000000001,,75.03730000462383,0.555,0.47972619047619036,0.508046949980709,0.14363636363636373,0.52,1,80,33,32,120,104
26,0.457197,baseline,8,False,0.6000000000000001,80,21.59890008624643,0.49,0.43342857142857144,0.46461050572756796,0.123125,0.52,1,100,24,24,120,140
27,0.487092,chroma_only,9,True,0.5,,82.66279997769743,0.525,0.4685178571428571,0.48761730663530495,0.12777777777777757,0.52,1,120,57,32,160,100
28,0.497857,chroma_only,5,True,0.6000000000000001,,76.10889989882708,0.525,0.47508333333333325,0.4943454818546199,0.06999999999999994,0.52,2,80,34,28,120,100
29,0.490573,chroma_only,11,True,0.7000000000000001,,81.96809992659837,0.53,0.4676071428571429,0.49560559811596433,0.1400000000000001,0.52,1,100,53,40,120,84
30,0.459386,chroma_only,8,True,0.30000000000000004,,74.41919995471835,0.48,0.45779761904761906,0.46549818444456237,0.114375,0.52,1,60,34,20,120,140
31,0.497857,chroma_only,5,True,0.6000000000000001,,75.74660005047917,0.525,0.47508333333333325,0.4943454818546199,0.06999999999999994,0.52,2,80,34,28,120,100
32,0.491641,chroma_only,4,True,0.7000000000000001,,86.44440001808107,0.515,0.47666666666666657,0.4955066360496737,0.04875,0.52,3,80,34,28,100,120
33,0.498593,chroma_only,5,True,0.8,,89.67099990695715,0.53,0.4805833333333333,0.5079653429035393,0.07499999999999994,0.52,2,60,34,32,140,100
34,0.503896,chroma_only,6,True,0.8,,89.40990001428872,0.54,0.48224999999999996,0.5115274147746196,0.08666666666666664,0.52,1,60,34,36,140,100
35,0.474501,baseline,6,True,0.8,160,61.90870003774762,0.5,0.4524999999999999,0.4785029719569266,0.08249999999999996,0.52,1,60,24,40,80,80
36,0.509977,chroma_only,7,True,0.8,,87.56640006322414,0.55,0.48367857142857135,0.5148607481079529,0.09928571428571421,0.52,1,60,34,36,140,140
37,0.458510,baseline,7,False,0.7000000000000001,320,30.387299950234592,0.49,0.43342857142857144,0.46461050572756796,0.10999999999999989,0.52,1,60,34,36,140,140
38,0.491265,chroma_only,9,True,0.8,,93.24519999790937,0.535,0.47364880952380944,0.502746653628053,0.12055555555555535,0.52,1,100,47,40,120,140
39,0.474344,baseline,8,True,0.6000000000000001,160,61.25910009723157,0.51,0.4472619047619046,0.471364432892267,0.103125,0.52,1,80,24,32,80,160
40,0.426431,chroma_only,7,False,0.7000000000000001,,55.21050002425909,0.46,0.40005952380952386,0.42537800545646853,0.09928571428571421,0.52,1,120,64,36,160,120
41,0.502992,chroma_only,6,True,0.8,,90.8569999737665,0.54,0.48224999999999996,0.5115274147746196,0.08666666666666664,0.52,1,60,34,36,140,100
42,0.508402,chroma_only,7,True,0.8,,90.08669992908835,0.55,0.48367857142857135,0.5148607481079529,0.09928571428571421,0.52,1,60,34,32,140,120
43,0.505845,chroma_only,7,True,0.7000000000000001,,93.65149994846433,0.55,0.48221428571428576,0.5121523812750778,0.0921428571428571,0.52,1,60,34,28,100,120
44,0.505428,chroma_only,10,True,0.8,,92.13629993610084,0.555,0.4815595238095237,0.5136917029706689,0.1330000000000001,0.52,1,80,40,32,120,140
45,0.494406,chroma_only,8,True,0.6000000000000001,,95.2562999445945,0.545,0.46994642857142843,0.497818211442962,0.105,0.52,1,100,44,24,140,120
46,0.507660,chroma_only,9,True,0.8,,87.74230000562966,0.55,0.483845238095238,0.513704678672871,0.11888888888888864,0.52,1,60,27,44,180,60
47,0.443920,baseline,7,True,0.1,80,61.376400059089065,0.46,0.44421428571428573,0.4520357772988311,0.10142857142857134,0.52,1,80,24,36,120,140
48,0.432514,chroma_only,9,False,0.7000000000000001,,56.44439999014139,0.475,0.4006845238095238,0.4300378042026457,0.12666666666666646,0.52,1,140,57,24,160,120
49,0.482335,chroma_only,12,True,0.4,,88.89040001668036,0.53,0.4657997835497835,0.4834345498000192,0.14416666666666664,0.52,1,60,36,28,140,68
50,0.491354,chroma_only,7,True,0.7000000000000001,,92.96170005109161,0.535,0.46777380952380954,0.4966171865360657,0.09142857142857139,0.52,1,80,44,32,100,80
51,0.514621,chroma_only,11,True,0.8,,85.20750002935529,0.56,0.4887997835497835,0.5196104534965433,0.14227272727272733,0.52,1,60,33,44,180,64
52,0.511973,chroma_only,11,True,0.8,,89.44330003578216,0.56,0.4887997835497835,0.5196104534965433,0.14227272727272733,0.52,1,60,33,48,160,64
53,0.510482,chroma_only,11,True,0.8,,91.82879992295057,0.56,0.4887997835497835,0.5196104534965433,0.14227272727272733,0.52,1,60,33,44,180,64
54,0.513060,chroma_only,11,True,0.8,,87.70440006628633,0.56,0.4887997835497835,0.5196104534965433,0.14227272727272733,0.52,1,60,33,48,180,64
55,0.510635,chroma_only,11,True,0.8,,91.58400003798306,0.56,0.4887997835497835,0.5196104534965433,0.14227272727272733,0.52,1,60,33,48,180,64
56,0.512797,chroma_only,11,True,0.8,,88.12570001464337,0.56,0.4887997835497835,0.5196104534965433,0.14227272727272733,0.52,2,60,33,48,180,64
