trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.415251,chroma_only,9,True,0.7,,218.46300002653152,0.57,0.5370833333333332,0.5616716088687653,0.13222222222222202,0.52,2,80,31,36,140,140
1,0.451780,chroma_only,9,False,0.7,,169.07330008689314,0.56,0.5326666666666666,0.5557978413467137,0.14611111111111086,0.52,2,80,34,30,130,160
2,0.423975,chroma_only,8,True,0.8,,204.6142000472173,0.565,0.5329166666666666,0.5573262576366226,0.12625,0.52,2,80,34,31,130,120
3,0.441731,chroma_only,9,False,0.7,,184.5337999984622,0.565,0.5351666666666667,0.5589524901145709,0.14333333333333306,0.52,2,80,34,33,120,160
4,0.426438,chroma_only,9,True,0.8,,200.9900000412017,0.565,0.5329166666666666,0.5573262576366226,0.13499999999999976,0.52,2,80,30,32,120,100
5,0.424171,chroma_only,9,True,0.8,,203.39090004563332,0.565,0.5329166666666666,0.5573262576366226,0.13555555555555535,0.52,2,80,31,32,130,160
6,0.433403,chroma_only,8,False,0.8,,198.439700063318,0.57,0.5375,0.5619539107817957,0.136875,0.52,2,80,32,35,130,40
7,0.399361,chroma_only,9,True,0.8,,234.2920999508351,0.57,0.5357222222222222,0.5604576400928909,0.13888888888888867,0.52,2,80,33,35,140,40
8,0.397747,chroma_only,8,True,0.8,,233.1585999345407,0.565,0.5329166666666666,0.5573262576366226,0.125625,0.52,2,80,32,36,130,100
9,0.404420,chroma_only,8,True,0.8,,226.3204000191763,0.565,0.5329166666666666,0.5573262576366226,0.121875,0.52,2,80,33,31,120,80
10,0.438534,chroma_only,9,False,0.7,,183.4540000418201,0.56,0.5326666666666666,0.5557978413467137,0.14611111111111086,0.52,2,80,34,30,130,140
11,0.430060,chroma_only,9,False,0.7,,197.20509997569025,0.565,0.5351666666666667,0.5589524901145709,0.14333333333333306,0.52,2,80,34,33,120,160
12,0.428295,chroma_only,9,False,0.7,,198.3707998879254,0.565,0.535,0.5587992620139385,0.14944444444444419,0.52,2,80,34,34,120,160
13,0.450583,chroma_only,9,False,0.7,,170.37229996640235,0.56,0.5326666666666666,0.5557978413467137,0.14611111111111086,0.52,2,80,34,30,120,140
14,0.451577,chroma_only,9,False,0.7,,169.29370001889765,0.56,0.5326666666666666,0.5557978413467137,0.14611111111111086,0.52,2,80,30,30,140,120
15,0.450943,chroma_only,9,False,0.7,,169.98200002126396,0.56,0.5326666666666666,0.5557978413467137,0.14611111111111086,0.52,2,80,30,30,140,120
16,0.452533,chroma_only,9,False,0.7,,168.6772999819368,0.56,0.5326666666666666,0.5557978413467137,0.14222222222222197,0.52,2,80,30,30,140,80
17,0.454841,chroma_only,9,False,0.7,,169.99890003353357,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,140,60
18,0.442840,chroma_only,8,False,0.7,,184.01169998105615,0.565,0.535,0.5587992620139385,0.13625,0.52,2,80,30,34,140,60
19,0.451726,chroma_only,9,False,0.7,,173.3810999430716,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,140,60
20,0.446707,chroma_only,9,False,0.7,,175.0034000724554,0.56,0.5326666666666666,0.5557978413467137,0.14222222222222197,0.52,2,80,30,30,140,80
21,0.447438,chroma_only,9,False,0.7,,174.2089999606833,0.56,0.5326666666666666,0.5557978413467137,0.14222222222222197,0.52,2,80,30,30,140,80
22,0.452459,chroma_only,9,False,0.7,,172.58530005346984,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,130,60
23,0.451942,chroma_only,9,False,0.7,,173.14600001554936,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,140,60
24,0.452847,chroma_only,9,False,0.7,,172.16389998793602,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,140,60
25,0.447846,chroma_only,9,False,0.7,,173.76639996655285,0.56,0.5326666666666666,0.5557978413467137,0.14222222222222197,0.52,2,80,30,30,140,80
26,0.443087,chroma_only,8,False,0.7,,189.17240004520863,0.57,0.54,0.5637992620139385,0.13625,0.52,2,80,30,34,140,40
27,0.448929,chroma_only,9,False,0.7,,176.39069992583245,0.565,0.535,0.5587992620139385,0.14555555555555533,0.52,2,80,31,31,140,60
28,0.432612,chroma_only,9,False,0.7,,197.51109997741878,0.57,0.5375,0.5619539107817957,0.15333333333333304,0.52,2,80,32,35,140,80
29,0.434713,chroma_only,9,False,0.7,,198.74449993949383,0.575,0.5380555555555556,0.5634590607601155,0.15111111111111086,0.52,2,80,33,36,140,40
30,0.431445,chroma_only,9,False,0.7,,189.03369992040098,0.56,0.5276666666666666,0.5521071388824282,0.14388888888888865,0.52,2,80,31,32,140,100
31,0.447451,chroma_only,9,False,0.7,,178.02220000885427,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,130,60
32,0.450730,chroma_only,9,False,0.7,,174.46240002755076,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,130,60
33,0.449628,chroma_only,9,False,0.7,,175.65860005561262,0.565,0.5351666666666667,0.5589524901145709,0.1461111111111109,0.52,2,80,30,30,140,60
34,0.445146,chroma_only,9,False,0.7,,176.697300048545,0.56,0.5326666666666666,0.5557978413467137,0.14222222222222197,0.52,2,80,30,30,130,80
35,0.436313,chroma_only,9,False,0.7,,187.6922999508679,0.565,0.5305555555555556,0.5553044119922583,0.1477777777777775,0.52,2,80,30,33,140,40
36,0.425364,chroma_only,9,True,0.7,,207.3625000193715,0.57,0.5370833333333332,0.5616716088687653,0.13333333333333314,0.52,2,80,30,36,130,80
37,0.453054,chroma_only,8,False,0.7,,173.68790006730705,0.565,0.5351666666666667,0.5589524901145709,0.13,0.52,2,80,31,30,130,60
38,0.417059,chroma_only,8,True,0.8,,212.1913000009954,0.565,0.5329166666666666,0.5573262576366226,0.125625,0.52,2,80,31,32,140,100
39,0.446539,chroma_only,8,False,0.8,,174.9745000852272,0.56,0.53,0.5537992620139385,0.1325,0.52,2,80,31,31,140,40
40,0.419286,chroma_only,8,True,0.7,,211.02950000204146,0.565,0.5351666666666667,0.5589524901145709,0.12375,0.52,2,80,31,33,130,60
41,0.453189,chroma_only,8,False,0.7,,173.54160000104457,0.565,0.5351666666666667,0.5589524901145709,0.13,0.52,2,80,32,30,130,60
42,0.448103,chroma_only,8,False,0.7,,174.54310005996376,0.56,0.5326666666666666,0.5557978413467137,0.1325,0.52,2,80,32,30,130,80
