trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.344628,chroma_only,9,True,0.8,,204.08860000316054,0.565,0.5329166666666666,0.5573262576366226,0.13499999999999976,0.52,2,80,32,30,120,140
1,0.351170,chroma_only,9,True,0.8,,198.79470008891076,0.565,0.5309722222222222,0.5556767588470852,0.13777777777777758,0.52,2,80,32,30,120,40
2,0.363362,chroma_only,9,True,0.8,,192.87679996341467,0.57,0.5315277777777777,0.5571819088254051,0.1361111111111109,0.52,2,80,32,28,120,40
3,0.344291,chroma_only,9,True,0.8,,201.37040002737194,0.56,0.5304166666666665,0.5541716088687653,0.13777777777777758,0.52,2,80,30,30,120,60
4,0.351688,chroma_only,9,True,0.8,,201.92540006246418,0.57,0.5334722222222221,0.5588314076149424,0.13055555555555534,0.52,2,80,30,29,120,120
5,0.349594,chroma_only,9,True,0.8,,203.3215999836102,0.57,0.5334722222222221,0.5588314076149424,0.13055555555555534,0.52,2,80,33,29,120,160
6,0.345528,chroma_only,9,True,0.8,,206.03220001794398,0.57,0.5334722222222221,0.5588314076149424,0.13055555555555534,0.52,2,80,30,29,120,140
7,0.358296,chroma_only,9,True,0.8,,196.1878000292927,0.57,0.5315277777777777,0.5571819088254051,0.13666666666666646,0.52,2,80,33,28,120,40
8,0.360035,chroma_only,9,True,0.8,,196.09379989560694,0.57,0.5334722222222221,0.5588314076149424,0.13277777777777755,0.52,2,80,30,28,120,100
9,0.357136,chroma_only,9,True,0.8,,198.02650006022304,0.57,0.5334722222222221,0.5588314076149424,0.13277777777777755,0.52,2,80,33,28,120,100
10,0.360942,chroma_only,9,True,0.8,,195.6229000352323,0.57,0.5334722222222221,0.5588314076149424,0.13166666666666646,0.52,2,80,31,28,120,80
11,0.360389,chroma_only,9,True,0.8,,195.99129993002862,0.57,0.5334722222222221,0.5588314076149424,0.13166666666666646,0.52,2,80,31,28,120,80
12,0.356593,chroma_only,9,True,0.8,,195.17970003653318,0.565,0.5309722222222222,0.5556767588470852,0.13777777777777755,0.52,2,80,31,28,120,60
13,0.356438,chroma_only,9,True,0.8,,198.42499995138496,0.57,0.5334722222222221,0.5588314076149424,0.13333333333333314,0.52,2,80,34,28,120,80
14,0.348414,chroma_only,9,True,0.8,,200.5655000684783,0.565,0.5309722222222222,0.5556767588470852,0.13833333333333311,0.52,2,80,32,28,120,60
