trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.321658,chroma_only,9,True,0.8,,218.40289991814643,0.565,0.5309722222222222,0.5556767588470852,0.13833333333333311,0.52,2,80,31,28,120,60
1,0.320548,chroma_only,9,True,0.8,,219.34289997443557,0.565,0.5309722222222222,0.5556767588470852,0.13666666666666644,0.52,2,80,33,29,120,60
2,0.316919,chroma_only,9,True,0.8,,220.01900000032037,0.56,0.5304166666666665,0.5541716088687653,0.13444444444444426,0.52,2,80,30,30,120,60
3,0.337396,chroma_only,9,True,0.8,,207.8440000768751,0.565,0.5309722222222222,0.5556767588470852,0.13888888888888867,0.52,2,80,32,28,120,60
4,0.325943,chroma_only,9,True,0.8,,215.4795000096783,0.565,0.5309722222222222,0.5556767588470852,0.13888888888888867,0.52,2,80,32,28,120,60
5,0.327662,chroma_only,9,True,0.8,,212.65690005384386,0.56,0.5304166666666665,0.5541716088687653,0.1361111111111109,0.52,2,80,32,30,120,60
6,0.317517,chroma_only,9,True,0.8,,221.16339998319745,0.565,0.5309722222222222,0.5556767588470852,0.13833333333333311,0.52,2,80,31,28,120,60
7,0.321212,chroma_only,9,True,0.8,,217.1567000914365,0.56,0.5304166666666665,0.5541716088687653,0.13444444444444426,0.52,2,80,30,30,120,60
8,0.322261,chroma_only,9,True,0.8,,216.0571999847889,0.56,0.5304166666666665,0.5541716088687653,0.13777777777777758,0.52,2,80,34,30,120,60
9,0.333402,chroma_only,9,True,0.8,,210.57330002076924,0.565,0.5309722222222222,0.5556767588470852,0.13833333333333311,0.52,2,80,30,28,120,60
10,0.327385,chroma_only,9,True,0.8,,214.65139999054372,0.565,0.5309722222222222,0.5556767588470852,0.13777777777777755,0.52,2,80,34,29,120,60
11,0.323990,chroma_only,9,True,0.8,,217.18180004972965,0.565,0.5309722222222222,0.5556767588470852,0.13555555555555535,0.52,2,80,31,29,120,60
12,0.339022,chroma_only,9,True,0.8,,206.76009997259825,0.565,0.5309722222222222,0.5556767588470852,0.13888888888888867,0.52,2,80,32,28,120,60
13,0.338015,chroma_only,9,True,0.8,,207.4311999604106,0.565,0.5309722222222222,0.5556767588470852,0.13888888888888867,0.52,2,80,33,28,120,60
14,0.338785,chroma_only,9,True,0.8,,206.918100011535,0.565,0.5309722222222222,0.5556767588470852,0.13888888888888867,0.52,2,80,33,28,120,60
15,0.331612,chroma_only,9,True,0.8,,211.9666999205947,0.565,0.5309722222222222,0.5556767588470852,0.13666666666666644,0.52,2,80,33,29,120,60
16,0.333325,chroma_only,9,True,0.8,,210.82500007469207,0.565,0.5309722222222222,0.5556767588470852,0.13666666666666644,0.52,2,80,33,29,120,60
17,0.338584,chroma_only,9,True,0.8,,207.05190009903163,0.565,0.5309722222222222,0.5556767588470852,0.13888888888888867,0.52,2,80,32,28,120,60
18,0.338969,chroma_only,9,True,0.8,,206.72879996709526,0.565,0.5309722222222222,0.5556767588470852,0.13944444444444423,0.52,2,80,34,28,120,60
19,0.331052,chroma_only,9,True,0.8,,212.20670000184327,0.565,0.5309722222222222,0.5556767588470852,0.13777777777777755,0.52,2,80,34,29,120,60
20,0.338916,chroma_only,9,True,0.8,,206.89749997109175,0.565,0.5309722222222222,0.5556767588470852,0.13833333333333311,0.52,2,80,31,28,120,60
