trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.381015,chroma_only,9,False,0.8,,178.6765999859199,0.56,0.5301666666666667,0.553952490114571,0.14666666666666642,0.52,2,80,31,29,120,60
1,0.385382,chroma_only,9,False,0.8,,175.76499993447214,0.56,0.5301666666666667,0.553952490114571,0.14666666666666642,0.52,2,80,34,29,120,60
2,0.342841,chroma_only,9,True,0.8,,208.0355000216514,0.565,0.5329166666666666,0.5573262576366226,0.13444444444444423,0.52,2,80,34,30,120,100
3,0.330872,chroma_only,9,True,0.8,,216.0700000822544,0.565,0.5329166666666666,0.5573262576366226,0.13388888888888867,0.52,2,80,33,32,120,140
4,0.324402,chroma_only,8,True,0.8,,221.21019999030977,0.565,0.5329166666666666,0.5573262576366226,0.125625,0.52,2,80,31,31,120,140
5,0.372128,chroma_only,9,False,0.8,,184.21229999512434,0.56,0.5275,0.5519539107817957,0.14277777777777753,0.52,2,80,33,32,120,80
6,0.386540,chroma_only,8,False,0.8,,176.60670005716383,0.56,0.53,0.5537992620139385,0.13,0.52,2,80,31,31,120,120
7,0.386237,chroma_only,9,False,0.8,,175.8638999890536,0.56,0.53,0.5537992620139385,0.1394444444444442,0.52,2,80,34,31,120,100
8,0.343601,chroma_only,9,True,0.8,,207.9731000121683,0.565,0.5329166666666666,0.5573262576366226,0.1299999999999998,0.52,2,80,33,31,120,80
9,0.360147,chroma_only,9,True,0.8,,198.7860999070108,0.57,0.5334722222222221,0.5588314076149424,0.13166666666666646,0.52,2,80,33,28,120,140
10,0.398913,chroma_only,8,False,0.8,,168.83229999803007,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
11,0.402655,chroma_only,8,False,0.8,,166.33729997556657,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
12,0.401504,chroma_only,8,False,0.8,,167.10510000120848,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
13,0.402324,chroma_only,8,False,0.8,,166.5579000255093,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
14,0.401571,chroma_only,8,False,0.8,,167.06010000780225,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,32,28,120,160
15,0.397871,chroma_only,8,False,0.8,,169.526599929668,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,120
16,0.387592,chroma_only,8,False,0.8,,175.34239997621626,0.56,0.53,0.5537992620139385,0.135625,0.52,2,80,30,30,120,40
17,0.393501,chroma_only,8,False,0.8,,172.43979999329895,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,120
18,0.385111,chroma_only,8,False,0.8,,178.03349997848272,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,32,28,120,160
19,0.394609,chroma_only,8,False,0.8,,171.70149995945394,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,140
20,0.363812,chroma_only,8,False,0.8,,190.84669998846948,0.56,0.5275,0.5519539107817957,0.131875,0.52,2,80,30,32,120,120
21,0.391036,chroma_only,8,False,0.8,,174.0831999341026,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,32,28,120,160
22,0.395409,chroma_only,8,False,0.8,,171.1680000880733,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,32,28,120,160
23,0.391769,chroma_only,8,False,0.8,,173.59499994199723,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,32,28,120,140
24,0.386468,chroma_only,8,False,0.8,,176.65449995547533,0.56,0.53,0.5537992620139385,0.13,0.52,2,80,32,29,120,160
25,0.387663,chroma_only,8,False,0.8,,176.20739992707968,0.56,0.5325,0.5556446132460812,0.13375,0.52,2,80,30,30,120,140
26,0.361373,chroma_only,8,True,0.8,,196.68749999254942,0.565,0.5329166666666666,0.5573262576366226,0.124375,0.52,2,80,32,28,120,160
27,0.400800,chroma_only,8,False,0.8,,167.5742999650538,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,140
28,0.381200,chroma_only,8,False,0.8,,180.64110004343092,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
29,0.372751,chroma_only,8,False,0.8,,185.79909997060895,0.56,0.53,0.5537992620139385,0.13,0.52,2,80,32,29,120,120
30,0.396140,chroma_only,8,False,0.8,,170.49340007361025,0.56,0.5325,0.5556446132460812,0.134375,0.52,2,80,31,28,120,80
31,0.392947,chroma_only,8,False,0.8,,172.80930001288652,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
32,0.382110,chroma_only,8,False,0.8,,180.03410007804632,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
33,0.382672,chroma_only,8,False,0.8,,179.18490001466125,0.56,0.53,0.5537992620139385,0.13,0.52,2,80,34,29,120,140
34,0.379192,chroma_only,8,False,0.8,,181.85469997115433,0.56,0.5325,0.5556446132460812,0.13375,0.52,2,80,30,30,120,160
35,0.340451,chroma_only,8,True,0.8,,210.69820004049689,0.565,0.5329166666666666,0.5573262576366226,0.12375,0.52,2,80,30,28,120,140
36,0.369555,chroma_only,9,False,0.8,,187.2877998976037,0.565,0.5279365079365078,0.5533446914912422,0.14888888888888865,0.52,2,80,34,32,120,40
37,0.361605,chroma_only,8,True,0.8,,196.5957999927923,0.565,0.5329166666666666,0.5573262576366226,0.12375,0.52,2,80,31,28,120,100
38,0.374756,chroma_only,9,False,0.8,,182.51579999923706,0.56,0.5275,0.5519539107817957,0.14222222222222197,0.52,2,80,30,32,120,140
39,0.387699,chroma_only,8,False,0.8,,175.83360010758042,0.56,0.53,0.5537992620139385,0.13,0.52,2,80,33,31,120,160
40,0.366575,chroma_only,9,True,0.8,,194.500399986282,0.57,0.5334722222222221,0.5588314076149424,0.13166666666666646,0.52,2,80,31,28,120,140
41,0.406124,chroma_only,8,False,0.8,,164.02479994576424,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
42,0.406102,chroma_only,8,False,0.8,,164.03959994204342,0.56,0.5325,0.5556446132460812,0.1325,0.52,2,80,30,28,120,160
43,0.406686,chroma_only,8,False,0.8,,164.15659990161657,0.56,0.5329166666666666,0.5560169601009081,0.12875,0.52,2,80,30,28,120,60
44,0.406171,chroma_only,8,False,0.8,,163.80610002670437,0.56,0.5325,0.5556446132460812,0.134375,0.52,2,80,30,28,120,80
45,0.400043,chroma_only,8,False,0.8,,170.87510006967932,0.565,0.535,0.5587992620139385,0.130625,0.52,2,80,30,31,120,60
46,0.402767,chroma_only,8,False,0.8,,166.76920000463724,0.56,0.5329166666666666,0.5560169601009081,0.12875,0.52,2,80,30,28,120,60
