trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.204515,chroma_only,9,True,0.8,,208.7782999733463,0.565,0.5315277777777777,0.5558726112896906,0.1394444444444442,0.52,2,80,32,28,120,40
1,0.260556,chroma_only,9,True,0.8,,186.76199996843934,0.565,0.5315277777777777,0.5558726112896906,0.13444444444444423,0.52,2,80,30,26,120,40
2,0.253394,chroma_only,9,True,0.8,,189.27120009902865,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,32,27,120,40
3,0.253759,chroma_only,9,True,0.8,,189.1252000350505,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,31,27,120,40
4,0.251352,chroma_only,9,True,0.8,,190.0881000328809,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,31,27,120,40
5,0.273073,chroma_only,9,True,0.8,,181.71100004110485,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
6,0.242678,chroma_only,9,True,0.8,,193.60209989827126,0.565,0.5315277777777777,0.5558726112896906,0.13833333333333311,0.52,2,80,30,28,120,40
7,0.228182,chroma_only,9,True,0.8,,199.35599993914366,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,32,27,120,40
8,0.202555,chroma_only,9,True,0.8,,209.60699999704957,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,32,27,120,40
9,0.264025,chroma_only,9,True,0.8,,185.33010000828654,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
10,0.262000,chroma_only,9,True,0.8,,186.14000000525266,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
11,0.263263,chroma_only,9,True,0.8,,185.63480000011623,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
12,0.266461,chroma_only,9,True,0.8,,184.3557000393048,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
13,0.265841,chroma_only,9,True,0.8,,184.64819993823767,0.565,0.5315277777777777,0.5558726112896906,0.13444444444444423,0.52,2,80,30,26,120,40
14,0.267352,chroma_only,9,True,0.8,,183.99930000305176,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
15,0.260069,chroma_only,9,True,0.8,,186.91260006744415,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
16,0.262299,chroma_only,9,True,0.8,,186.02050002664328,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
17,0.226057,chroma_only,9,True,0.8,,200.16150001902133,0.565,0.5315277777777777,0.5558726112896906,0.1394444444444442,0.52,2,80,32,28,120,40
18,0.261614,chroma_only,9,True,0.8,,186.29450001753867,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
19,0.247820,chroma_only,9,True,0.8,,191.50080007966608,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,32,27,120,40
20,0.245470,chroma_only,9,True,0.8,,192.44109990540892,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,32,27,120,40
21,0.266920,chroma_only,9,True,0.8,,184.1719999210909,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
22,0.263021,chroma_only,9,True,0.8,,185.77599991112947,0.565,0.5315277777777777,0.5558726112896906,0.13444444444444423,0.52,2,80,30,26,120,40
23,0.263184,chroma_only,9,True,0.8,,185.66650000866503,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
24,0.267495,chroma_only,9,True,0.8,,183.94190003164113,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
25,0.266873,chroma_only,9,True,0.8,,184.19070006348193,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
26,0.264214,chroma_only,9,True,0.8,,185.254400013946,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
27,0.243562,chroma_only,9,True,0.8,,193.24849999975413,0.565,0.5315277777777777,0.5558726112896906,0.13833333333333311,0.52,2,80,30,27,120,40
28,0.266087,chroma_only,9,True,0.8,,184.50510001275688,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
29,0.232074,chroma_only,9,True,0.8,,197.75479997042567,0.565,0.5315277777777777,0.5558726112896906,0.1394444444444442,0.52,2,80,32,28,120,40
30,0.262377,chroma_only,9,True,0.8,,185.98910002037883,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
31,0.262175,chroma_only,9,True,0.8,,186.06990005355328,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
32,0.253100,chroma_only,9,True,0.8,,189.70009998884052,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
33,0.262242,chroma_only,9,True,0.8,,186.04319996666163,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
34,0.263455,chroma_only,9,True,0.8,,185.5578999966383,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
35,0.258839,chroma_only,9,True,0.8,,187.40430008620024,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,31,26,120,40
36,0.244395,chroma_only,9,True,0.8,,192.91539990808815,0.565,0.5315277777777777,0.5558726112896906,0.13833333333333311,0.52,2,80,30,27,120,40
37,0.243187,chroma_only,9,True,0.8,,193.35419998969883,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,31,27,120,40
38,0.263724,chroma_only,9,True,0.8,,185.45049999374896,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
39,0.260089,chroma_only,9,True,0.8,,186.90430000424385,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
40,0.242195,chroma_only,9,True,0.8,,193.75100010074675,0.565,0.5315277777777777,0.5558726112896906,0.13888888888888867,0.52,2,80,31,27,120,40
41,0.258377,chroma_only,9,True,0.8,,187.5894000986591,0.565,0.5315277777777777,0.5558726112896906,0.1349999999999998,0.52,2,80,32,26,120,40
