trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.463687,baseline,9,True,0.1,220,49.12999994121492,0.495,0.43398412698412697,0.46611565570588787,0.1333333333333331,0.52,3,200,87,20,200,60
1,0.453384,chroma_only,12,False,0.30000000000000004,,49.73189998418093,0.5,0.40292694805194806,0.4383696540632752,0.14874999999999988,0.52,2,180,56,16,220,148
2,0.462536,baseline,7,False,0.30000000000000004,260,24.37840006314218,0.49,0.43342857142857144,0.46461050572756796,0.1107142857142856,0.52,2,120,34,28,180,160
3,0.466259,baseline,10,False,0.8,320,23.67889997549355,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,1,100,70,20,160,140
4,0.458249,baseline,9,True,0.30000000000000004,260,64.3792999908328,0.485,0.4405535714285714,0.45569173477655567,0.11999999999999983,0.52,2,60,27,20,200,140
5,0.457405,baseline,6,False,0.4,240,24.380499962717295,0.48,0.43199999999999994,0.46127717239423466,0.0925,0.52,2,200,194,20,200,40
6,0.466259,baseline,10,False,0.6000000000000001,320,24.97270004823804,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,3,120,70,28,180,100
7,0.420655,chroma_only,4,False,0.5,,49.250699928961694,0.44,0.39708333333333334,0.41681593358538827,0.06125,0.52,1,100,24,20,160,160
8,0.457405,baseline,6,False,0.0,180,25.727299973368645,0.48,0.43199999999999994,0.46127717239423466,0.0925,0.52,1,80,24,32,140,60
9,0.427396,chroma_only,7,True,0.6000000000000001,,71.4494000421837,0.455,0.40005952380952386,0.42084974385629403,0.0978571428571428,0.52,3,160,124,28,200,120
10,0.454658,chroma_only,12,True,0.8,,70.84410008974373,0.5,0.4072126623376623,0.43982795389706675,0.1474999999999999,0.52,1,140,106,44,240,108
11,0.466259,baseline,10,False,0.8,320,27.09390001837164,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,3,120,70,36,120,80
12,0.466259,baseline,10,False,0.7000000000000001,100,28.571599978022277,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,3,100,60,12,100,120
13,0.469006,baseline,11,False,0.6000000000000001,320,22.221500054001808,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,140,83,36,160,84
14,0.469006,baseline,11,False,0.7000000000000001,320,22.94840000104159,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,103,48,180,84
15,0.468029,baseline,12,False,0.6000000000000001,160,22.126000025309622,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,1,160,126,48,180,88
16,0.469006,baseline,11,False,0.5,280,25.726099964231253,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,103,40,180,64
17,0.469006,baseline,11,False,0.7000000000000001,280,22.408500080928206,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,2,140,93,48,160,84
18,0.450508,chroma_only,8,True,0.5,,65.23580010980368,0.49,0.40414285714285714,0.43433544633284393,0.111875,0.52,1,180,154,40,220,40
19,0.469006,baseline,11,False,0.7000000000000001,120,24.323199992068112,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,180,133,40,240,64
20,0.463687,baseline,9,False,0.4,300,23.934700060635805,0.495,0.43398412698412697,0.46611565570588787,0.1333333333333331,0.52,1,140,107,36,160,80
21,0.469006,baseline,11,False,0.5,280,24.21529998537153,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,103,44,180,64
22,0.469006,baseline,11,False,0.6000000000000001,300,24.082400021143258,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,83,44,180,104
23,0.468029,baseline,12,False,0.4,280,23.87769997585565,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,2,140,96,36,160,68
24,0.469006,baseline,11,False,0.7000000000000001,220,23.590700002387166,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,180,113,40,220,44
25,0.461295,baseline,8,False,0.5,320,23.699799901805818,0.49,0.43342857142857144,0.46461050572756796,0.123125,0.52,1,160,84,48,180,80
26,0.437072,chroma_only,10,True,0.2,,71.43609994091094,0.475,0.40118452380952374,0.4251738307985206,0.13200000000000003,0.52,1,140,120,32,160,120
27,0.452970,baseline,4,False,0.6000000000000001,300,23.76200002618134,0.47,0.43,0.4554743802857166,0.06125,0.52,2,180,144,44,200,100
28,0.463687,baseline,9,False,0.7000000000000001,260,24.16959998663515,0.495,0.43398412698412697,0.46611565570588787,0.1333333333333331,0.52,1,160,47,40,180,80
29,0.468029,baseline,12,True,0.5,300,46.36839998420328,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,2,200,146,36,240,68
30,0.469006,baseline,11,False,0.4,240,23.446899955160916,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,120,93,48,140,64
31,0.469006,baseline,11,False,0.7000000000000001,280,23.9357000682503,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,2,140,93,48,160,84
32,0.466259,baseline,10,False,0.8,280,24.35600000899285,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,2,140,80,44,160,100
33,0.468029,baseline,12,False,0.6000000000000001,320,24.5160999475047,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,1,160,96,48,180,88
34,0.469006,baseline,11,False,0.7000000000000001,300,24.565700092352927,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,2,120,93,32,140,64
35,0.463687,baseline,9,False,0.2,240,24.725700030103326,0.495,0.43398412698412697,0.46611565570588787,0.1333333333333331,0.52,1,140,77,40,160,80
36,0.465163,chroma_only,11,False,0.6000000000000001,,44.0878999652341,0.515,0.40588528138528146,0.44265653579805153,0.1354545454545455,0.52,2,180,53,44,200,44
37,0.463687,baseline,9,False,0.8,220,23.884700029157102,0.495,0.43398412698412697,0.46611565570588787,0.1333333333333331,0.52,3,100,87,48,140,100
38,0.468029,baseline,12,True,0.5,200,43.854900053702295,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,1,200,186,24,220,88
39,0.466259,baseline,10,False,0.30000000000000004,260,23.564000031910837,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,2,60,40,36,120,120
40,0.441184,chroma_only,10,False,0.7000000000000001,,45.86140008177608,0.48,0.40118452380952374,0.4314831283342351,0.13350000000000006,0.52,2,120,100,24,140,140
41,0.469006,baseline,11,False,0.7000000000000001,80,22.906700032763183,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,180,133,40,240,64
42,0.469006,baseline,11,False,0.6000000000000001,120,23.470400017686188,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,180,113,40,200,64
43,0.468029,baseline,12,False,0.8,160,23.35869998205453,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,1,160,116,44,180,48
44,0.459055,baseline,5,False,0.7000000000000001,140,23.240800015628338,0.48,0.43199999999999994,0.46127717239423466,0.07599999999999997,0.52,1,200,134,32,240,80
45,0.466259,baseline,10,False,0.7000000000000001,320,23.6938000889495,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,1,160,70,40,180,60
46,0.461295,baseline,8,False,0.8,280,23.49849999882281,0.49,0.43342857142857144,0.46461050572756796,0.123125,0.52,1,140,74,36,160,80
47,0.468029,baseline,12,True,0.6000000000000001,200,43.94709994085133,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,3,180,106,44,220,48
48,0.447716,chroma_only,11,False,0.6000000000000001,,44.085799949243665,0.49,0.40245057720057725,0.4343114166225056,0.13636363636363644,0.52,1,160,123,28,200,64
49,0.466259,baseline,10,False,0.0,80,22.413400001823902,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,1,140,110,48,160,100
50,0.462536,baseline,7,False,0.5,260,23.34259997587651,0.49,0.43342857142857144,0.46461050572756796,0.1107142857142856,0.52,1,120,64,12,180,80
51,0.469006,baseline,11,False,0.5,280,23.298000101931393,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,103,44,180,64
52,0.469006,baseline,11,False,0.5,320,31.256400048732758,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,103,44,180,64
53,0.466259,baseline,10,False,0.4,300,23.42700003646314,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,1,180,90,40,200,80
54,0.468029,baseline,12,False,0.6000000000000001,300,23.516400018706918,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,1,160,86,48,180,48
55,0.469006,baseline,11,False,0.6000000000000001,260,23.128099972382188,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,140,103,36,160,64
56,0.468029,baseline,12,True,0.7000000000000001,280,48.16879995632917,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,1,160,116,44,220,48
57,0.447716,chroma_only,11,False,0.4,,43.911000015214086,0.49,0.40245057720057725,0.4343114166225056,0.13636363636363644,0.52,1,180,133,40,200,64
58,0.466259,baseline,10,False,0.5,240,23.497899994254112,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,1,140,100,44,160,80
59,0.469006,baseline,11,False,0.7000000000000001,120,28.592500020749867,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,83,48,180,84
60,0.468029,baseline,12,False,0.8,180,23.04619993083179,0.505,0.4349386724386724,0.46895569456573294,0.1575,0.52,3,180,156,44,240,68
61,0.469006,baseline,11,False,0.6000000000000001,300,23.255600011907518,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,160,83,48,180,104
62,0.469006,baseline,11,False,0.6000000000000001,320,29.829900013282895,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,140,93,44,180,104
63,0.466259,baseline,10,False,0.5,300,23.531800019554794,0.5,0.43448412698412703,0.4675609798374773,0.14149999999999996,0.52,1,160,70,40,180,120
64,0.469006,baseline,11,False,0.7000000000000001,320,23.381299921311438,0.505,0.4349386724386724,0.46895569456573294,0.14772727272727285,0.52,1,140,93,36,160,104
65,0.457405,baseline,6,False,0.6000000000000001,280,24.110900005325675,0.48,0.43199999999999994,0.46127717239423466,0.0925,0.52,2,160,64,48,200,80
66,0.484008,baseline,9,True,0.6000000000000001,300,54.59559999871999,0.515,0.4530674603174603,0.47975103232593885,0.11555555555555534,0.52,1,80,37,44,140,100
67,0.481237,baseline,9,True,0.7000000000000001,260,55.63229997642338,0.51,0.4538333333333333,0.4809631284699094,0.117222222222222,0.52,1,80,37,40,120,160
68,0.481237,baseline,9,True,0.7000000000000001,320,55.73230003938079,0.51,0.4538333333333333,0.4809631284699094,0.117222222222222,0.52,1,80,37,40,120,140
69,0.519426,chroma_only,9,True,0.7000000000000001,,81.85270009562373,0.555,0.48026984126984124,0.5113040461232751,0.1188888888888887,0.52,1,80,37,40,120,140
70,0.518557,chroma_only,8,True,0.8,,78.96150008309633,0.55,0.48347023809523804,0.5140023877884841,0.109375,0.52,1,80,34,36,120,160
71,0.518557,chroma_only,8,True,0.8,,80.33459994476289,0.55,0.48347023809523804,0.5140023877884841,0.109375,0.52,1,80,34,36,120,160
72,0.518557,chroma_only,8,True,0.8,,79.97040008194745,0.55,0.48347023809523804,0.5140023877884841,0.109375,0.52,1,80,34,36,120,160
73,0.518557,chroma_only,8,True,0.8,,78.58089997898787,0.55,0.48347023809523804,0.5140023877884841,0.109375,0.52,1,80,34,36,120,160
74,0.518557,chroma_only,8,True,0.8,,79.6192999696359,0.55,0.48347023809523804,0.5140023877884841,0.109375,0.52,1,80,34,32,120,160
75,0.518557,chroma_only,8,True,0.8,,78.38980003725737,0.55,0.48347023809523804,0.5140023877884841,0.109375,0.52,1,80,34,32,100,160
