trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.121951,baseline,7,True,0.0,120,873.6854000017047,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,2,180,64,44,120,160
1,0.121951,baseline,4,False,0.1,120,216.89660008996725,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,1,100,54,44,120,80
2,0.121951,baseline,6,False,0.30000000000000004,100,78.4833999350667,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,2,120,104,12,80,100
3,0.121951,chroma_only,11,True,0.7000000000000001,,926.9528000149876,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,3,60,103,44,208,104
4,0.121951,baseline,7,True,0.2,280,772.2682000603527,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,3,100,44,20,100,40
5,0.121951,chroma_only,5,True,0.6000000000000001,,988.5130999609828,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,3,140,24,28,120,100
6,0.121951,chroma_only,12,True,0.7000000000000001,,994.370499975048,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,3,160,106,28,116,128
7,0.121951,chroma_only,7,False,0.6000000000000001,,119.54790004529059,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,2,180,114,20,220,40
8,0.121951,chroma_only,12,True,0.4,,1019.2770999856293,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,1,80,116,48,236,68
9,0.121951,chroma_only,5,True,0.1,,1028.1080000568181,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,1,180,104,36,100,140
10,0.121951,baseline,9,False,0.0,200,180.85719994269311,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,2,200,77,36,160,160
11,0.121951,baseline,4,False,0.0,100,200.21689997520298,0.12195121951219512,0.12195121951219512,0.12195121951219512,0.0,0.12195121951219512,1,120,54,40,160,80
