trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,
8,0.835947,baseline,8,True,0.65,260,157.90246665710583,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,1,155,56,24,160,120
9,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,
13,0.835947,baseline,9,True,0.7,200,187.4829999966702,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,2,155,52,34,160,130
14,0.835947,baseline,8,True,0.7,200,148.2047000026796,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,1,155,52,24,160,120
15,0.835947,baseline,9,True,0.65,220,213.77726667560637,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,2,95,64,36,160,90
16,,,,,,,,,,,,,,,,,,
17,0.835947,baseline,9,True,0.7,320,159.6381666798455,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,2,150,60,24,100,130
18,,,,,,,,,,,,,,,,,,
19,0.835947,baseline,8,True,0.7,80,164.0953333408106,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,1,145,40,28,150,120
20,,,,,,,,,,,,,,,,,,
21,0.835947,baseline,8,True,0.7,160,159.2233000070943,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,1,155,52,24,160,120
22,0.835947,baseline,8,True,0.65,180,160.94933332836567,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,1,155,52,24,160,120
23,0.835947,baseline,9,True,0.7,220,156.03650000412017,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,1,80,52,24,145,120
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,0.835947,baseline,8,True,0.75,140,205.68303333129734,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,2,155,76,38,120,140
27,0.835947,baseline,9,True,0.65,280,148.0601999986296,0.837092731829574,0.8228905597326649,0.8455650490691028,0.0,0.8421052631578947,1,155,32,22,160,80
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
