trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall_at_k,mrr,ndcg,dup_rate,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.880677,chroma_only,9,True,0.7,,170.9038600034546,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,130,80,24,100,80
1,,,,,,,,,,,,,,,,,,
2,0.876325,baseline,8,True,0.7,240,207.43648000061512,0.8808333333333331,0.8647222222222222,0.8744049444959853,0.0,0.8841666666666667,1,150,88,20,160,60
3,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,
6,0.876325,baseline,9,True,0.7,320,249.73495999583974,0.8808333333333331,0.8647222222222222,0.8744049444959853,0.0,0.8841666666666667,2,140,64,32,120,100
7,,,,,,,,,,,,,,,,,,
8,0.875637,baseline,8,True,0.65,200,329.75773999351077,0.8799999999999999,0.8643055555555555,0.8738791697013424,0.0,0.8841666666666667,1,120,40,40,140,60
9,0.880677,chroma_only,9,True,0.7,,232.37730000400916,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,160,40,32,160,60
10,0.880677,chroma_only,9,True,0.7,,211.03732000337914,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,24,100,80
11,,,,,,,,,,,,,,,,,,
12,0.880677,chroma_only,9,True,0.7,,212.42117999936454,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,130,80,28,160,140
13,0.880677,chroma_only,9,True,0.7,,189.3777199962642,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,160,40,24,100,80
14,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,0.880677,chroma_only,9,True,0.7,,215.3563000028953,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,160,40,40,160,140
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,0.880677,chroma_only,9,True,0.65,,209.06395999481902,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,180,56,32,160,80
20,,,,,,,,,,,,,,,,,,
21,0.880677,chroma_only,9,True,0.7,,184.1254599916283,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,24,100,80
22,0.880677,chroma_only,9,True,0.7,,183.81081999395974,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,24,100,80
23,0.880677,chroma_only,9,True,0.7,,190.38826000178233,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,120,80,24,100,80
24,0.880677,chroma_only,9,True,0.7,,188.9995999983512,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,130,80,24,100,80
25,0.880677,chroma_only,9,True,0.7,,225.00156000023708,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,180,80,32,120,140
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,0.880677,chroma_only,9,True,0.7,,208.02752000745386,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,130,80,28,160,140
32,0.880677,chroma_only,9,True,0.7,,177.06970000290312,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,130,80,28,160,140
33,0.880677,chroma_only,9,True,0.7,,139.1816600051243,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,150,88,20,160,140
34,0.875953,baseline,8,True,0.7,80,170.22926000063308,0.8799999999999999,0.8652083333333334,0.8745563445878611,0.0,0.8841666666666667,2,130,48,28,160,140
35,0.880677,chroma_only,9,True,0.7,,174.30751998908818,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,1,190,80,32,160,120
36,,,,,,,,,,,,,,,,,,
37,0.880677,chroma_only,8,True,0.7,,173.45986000145786,0.885,0.8692916666666666,0.8790917801423609,0.0,0.8841666666666667,2,130,56,32,160,60
38,0.876325,baseline,9,True,0.7,140,135.431379993679,0.8808333333333331,0.8647222222222222,0.8744049444959853,0.0,0.8841666666666667,1,140,96,20,140,100
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
