trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.596604,chroma_only,9,True,0.85,,199.69729997683316,0.6225,0.5903125,0.603817854126724,0.15722222222222254,0.5825,1,120,48,26,120,110
1,0.589022,chroma_only,9,True,0.9,,194.395300000906,0.615,0.5827569444444444,0.5962436603758333,0.15777777777777804,0.5825,1,120,48,26,120,48
2,0.600847,chroma_only,9,True,0.85,,198.4073999337852,0.6275,0.5934027777777777,0.6073584583191032,0.15805555555555587,0.5825,2,120,44,26,120,150
3,0.593445,chroma_only,9,True,0.85,,197.70410005003214,0.62,0.5868640873015873,0.600499669325238,0.16027777777777805,0.5825,1,112,44,26,120,45
4,0.589897,chroma_only,9,True,0.9,,197.39069999195635,0.615,0.5845277777777779,0.597595516151639,0.15527777777777796,0.5825,1,120,48,26,120,59
5,0.598063,chroma_only,9,True,0.85,,192.97939992975444,0.625,0.5901626984126984,0.6041814244741324,0.15805555555555578,0.5825,2,104,44,26,140,56
6,0.594496,chroma_only,9,True,0.85,,193.9188000978902,0.62,0.5884375,0.6018184871154691,0.15555555555555586,0.5825,1,104,52,26,120,87
7,0.594564,chroma_only,9,True,0.9,,187.8644999815151,0.62,0.5895277777777779,0.6025955161516391,0.15861111111111137,0.5825,2,112,40,26,140,58
8,0.591356,chroma_only,9,True,0.9,,187.544499989599,0.6175,0.5852569444444444,0.5987436603758333,0.15944444444444472,0.5825,1,112,40,26,120,47
9,0.599328,chroma_only,9,True,0.85,,188.81839991081506,0.625,0.5933571428571429,0.606753598879741,0.15694444444444466,0.5825,2,128,40,26,120,65
10,0.600847,chroma_only,9,True,0.85,,204.509099945426,0.6275,0.5934027777777777,0.6073584583191032,0.15805555555555587,0.5825,2,128,44,26,140,159
11,0.600847,chroma_only,9,True,0.85,,204.156200052239,0.6275,0.5934027777777777,0.6073584583191032,0.15805555555555587,0.5825,2,128,44,26,140,157
12,0.600847,chroma_only,9,True,0.85,,204.6083000022918,0.6275,0.5934027777777777,0.6073584583191032,0.15805555555555587,0.5825,2,128,44,26,140,157
13,0.600847,chroma_only,9,True,0.85,,203.60849995631725,0.6275,0.5934027777777777,0.6073584583191032,0.15805555555555587,0.5825,2,120,44,26,140,134
14,0.595902,chroma_only,9,True,0.85,,206.24309999402612,0.6225,0.5884027777777777,0.6023584583191032,0.1575000000000003,0.5825,2,128,52,26,140,136
15,0.600847,chroma_only,9,True,0.85,,204.18270002119243,0.6275,0.5934027777777777,0.6073584583191032,0.15805555555555587,0.5825,2,120,44,26,140,140
16,0.602439,chroma_only,9,True,0.85,,202.67999998759478,0.6275,0.5975,0.6105291919347597,0.15666666666666695,0.5825,2,128,44,26,140,117
17,0.601548,chroma_only,9,True,0.85,,202.9762000311166,0.6275,0.5953125,0.608817854126724,0.1577777777777781,0.5825,2,104,44,26,120,113
18,0.595023,chroma_only,9,True,0.9,,204.51449998654425,0.62,0.59,0.6030291919347597,0.15583333333333366,0.5825,2,104,52,26,120,113
19,0.599412,chroma_only,9,True,0.85,,199.65269998647273,0.625,0.5934375,0.6068184871154692,0.15638888888888913,0.5825,2,104,44,26,140,81
20,0.602384,chroma_only,9,True,0.85,,201.63000002503395,0.6275,0.5975,0.6105291919347597,0.15722222222222249,0.5825,2,104,44,26,140,119
21,0.602384,chroma_only,9,True,0.85,,202.5718999793753,0.6275,0.5975,0.6105291919347597,0.15722222222222249,0.5825,2,104,44,26,140,121
22,0.599856,chroma_only,9,True,0.85,,202.09089992567897,0.625,0.595,0.6080291919347597,0.1575000000000003,0.5825,2,104,44,26,140,125
23,0.602180,chroma_only,9,True,0.85,,200.46480000019073,0.6275,0.5971875,0.6102411627315405,0.15805555555555584,0.5825,2,104,44,26,140,98
24,0.599856,chroma_only,9,True,0.85,,202.51410000491887,0.625,0.595,0.6080291919347597,0.1575000000000003,0.5825,2,104,44,26,140,124
25,0.602236,chroma_only,9,True,0.85,,201.67520001996309,0.6275,0.5971875,0.6102411627315405,0.1575000000000003,0.5825,2,128,44,26,140,101
26,0.594995,chroma_only,9,True,0.9,,203.9054000051692,0.62,0.59,0.6030291919347597,0.15611111111111145,0.5825,2,104,48,26,140,124
27,0.597347,chroma_only,9,True,0.85,,218.40010001324117,0.6225,0.5921875,0.6052411627315405,0.1563888888888892,0.5825,2,104,52,26,140,102
28,0.601885,chroma_only,9,True,0.85,,226.72949999105185,0.6275,0.5959375,0.6093184871154691,0.15666666666666698,0.5825,2,128,40,26,140,89
