trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.616057,chroma_only,9,True,0.9,,193.5656999994535,0.6175,0.589375,0.6019525005395763,0.15722222222222249,0.5825,1,112,52,26,140,97
1,0.616451,chroma_only,9,True,0.9,,183.0052999976033,0.6175,0.588,0.6009202655464078,0.1513888888888891,0.5825,1,112,52,26,120,63
2,0.619194,chroma_only,9,True,0.9,,193.61919999937527,0.6225,0.5884027777777777,0.6023584583191032,0.15722222222222254,0.5825,1,128,48,26,120,141
3,0.618189,chroma_only,9,True,0.9,,186.48530000064056,0.62,0.59,0.6030291919347597,0.15611111111111142,0.5825,1,120,52,26,140,128
4,0.623481,chroma_only,9,True,0.9,,184.32580000080634,0.625,0.595,0.6080291919347597,0.15583333333333363,0.5825,1,120,44,26,120,115
5,0.624101,chroma_only,9,True,0.9,,201.37289999911445,0.6275,0.5934027777777777,0.6073584583191032,0.15722222222222254,0.5825,1,128,44,26,140,153
6,0.617629,chroma_only,9,True,0.9,,207.25940000193077,0.6225,0.5884027777777777,0.6023584583191032,0.1555555555555559,0.5825,1,120,52,26,140,138
7,0.624444,chroma_only,9,True,0.9,,185.26639999981853,0.6275,0.5934027777777777,0.6073584583191032,0.15722222222222254,0.5825,1,128,44,26,120,134
8,0.618581,chroma_only,9,True,0.9,,183.40450000323472,0.62,0.590625,0.6035298249235048,0.15500000000000022,0.5825,1,120,48,26,140,76
9,0.624444,chroma_only,9,True,0.9,,187.07659999927273,0.6275,0.5934027777777777,0.6073584583191032,0.15722222222222254,0.5825,1,120,44,26,120,160
10,0.621432,chroma_only,9,True,0.9,,198.85970000177622,0.6225,0.594375,0.6069525005395762,0.15638888888888916,0.5825,1,128,44,26,120,101
11,0.624444,chroma_only,9,True,0.9,,186.5588000000571,0.6275,0.5934027777777777,0.6073584583191032,0.15722222222222254,0.5825,1,128,44,26,120,158
12,0.623398,chroma_only,9,True,0.9,,185.44719999772497,0.625,0.595,0.6080291919347597,0.1563888888888892,0.5825,1,128,44,26,120,121
13,0.616990,chroma_only,9,True,0.9,,180.14820000098553,0.62,0.5891319444444444,0.6022758953690018,0.16194444444444478,0.5825,1,120,44,26,120,41
14,0.624486,chroma_only,9,True,0.9,,188.45520000104443,0.6275,0.5934027777777777,0.6073584583191032,0.15694444444444478,0.5825,1,112,44,26,120,160
15,0.624486,chroma_only,9,True,0.9,,185.66229999851203,0.6275,0.5934027777777777,0.6073584583191032,0.15694444444444478,0.5825,1,112,44,26,120,141
16,0.619236,chroma_only,9,True,0.9,,189.21510000291164,0.6225,0.5884027777777777,0.6023584583191032,0.15694444444444478,0.5825,1,112,48,26,120,147
17,0.623356,chroma_only,9,True,0.9,,183.01830000200425,0.625,0.595,0.6080291919347597,0.15666666666666695,0.5825,1,112,44,26,120,106
18,0.620956,chroma_only,9,True,0.9,,183.29009999797563,0.6225,0.593125,0.6060298249235049,0.15666666666666695,0.5825,1,112,44,26,120,86
19,0.619236,chroma_only,9,True,0.9,,186.54229999810923,0.6225,0.5884027777777777,0.6023584583191032,0.15694444444444478,0.5825,1,112,48,26,120,147
20,0.623356,chroma_only,9,True,0.9,,185.68099999902188,0.625,0.595,0.6080291919347597,0.15666666666666698,0.5825,1,112,44,26,120,125
