trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.000000,baseline,11,True,0.6000000000000001,120,778.7038000533357,0.0,0.0,0.0,0.9090909090909091,0.0,3,180,33,40,228,84
1,0.000000,chroma_only,12,True,0.0,,984.6203000051901,0.0,0.0,0.0,0.9166666666666666,0.0,1,80,86,48,116,108
2,0.000000,chroma_only,5,True,0.0,,879.3589000124484,0.0,0.0,0.0,0.8,0.0,1,120,64,20,180,100
3,0.000000,chroma_only,6,False,0.1,,206.42200007569045,0.0,0.0,0.0,0.8333333333333334,0.0,2,120,54,32,220,80
4,0.000000,chroma_only,12,False,0.0,,130.93570002820343,0.0,0.0,0.0,0.9166666666666666,0.0,2,160,36,16,136,48
5,0.000000,chroma_only,9,True,0.1,,776.5608999179676,0.0,0.0,0.0,0.8888888888888888,0.0,3,60,67,20,140,100
6,0.000000,baseline,4,False,0.5,160,143.66890001110733,0.0,0.0,0.0,0.75,0.0,1,180,114,28,120,80
7,0.000000,chroma_only,6,False,0.2,,138.6384000070393,0.0,0.0,0.0,0.8333333333333334,0.0,2,160,34,20,200,40
8,0.000000,chroma_only,9,True,0.30000000000000004,,817.6193999825045,0.0,0.0,0.0,0.8888888888888888,0.0,2,60,27,32,180,140
9,0.000000,baseline,7,True,0.5,100,713.3140000514686,0.0,0.0,0.0,0.8571428571428572,0.0,1,60,104,20,100,60
10,0.000000,baseline,10,True,0.8,300,854.5274999924004,0.0,0.0,0.0,0.9,0.0,3,200,50,48,240,160
11,0.000000,baseline,12,True,0.7000000000000001,80,702.791600022465,0.0,0.0,0.0,0.9166666666666666,0.0,3,100,86,48,96,128
12,0.000000,baseline,11,True,0.6000000000000001,220,789.899899973534,0.0,0.0,0.0,0.9090909090909091,0.0,1,100,83,40,168,124
13,0.000000,baseline,11,True,0.4,180,795.8490999881178,0.0,0.0,0.0,0.9090909090909091,0.0,3,160,93,40,88,84
14,0.000000,chroma_only,10,True,0.30000000000000004,,946.9767999835312,0.0,0.0,0.0,0.9,0.0,2,200,120,40,240,120
15,0.000000,baseline,12,True,0.8,260,812.8775999648497,0.0,0.0,0.0,0.9166666666666666,0.0,3,100,76,44,136,108
16,0.000000,baseline,8,True,0.6000000000000001,140,788.0325000733137,0.0,0.0,0.0,0.875,0.0,1,140,44,36,200,60
17,0.000000,chroma_only,11,True,0.4,,941.9563000556082,0.0,0.0,0.0,0.9090909090909091,0.0,2,80,93,44,108,64
18,0.000000,chroma_only,10,False,0.6000000000000001,,279.88289995118976,0.0,0.0,0.0,0.9,0.0,1,180,60,48,80,160
19,0.000000,baseline,9,True,0.30000000000000004,220,750.7076999172568,0.0,0.0,0.0,0.8888888888888888,0.0,3,140,77,28,160,100
