trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.608797,chroma_only,9,True,0.75,,194.1105000441894,0.635,0.6012152777777777,0.6149924717432103,0.1544444444444447,0.5825,2,88,40,26,120,138
1,0.604809,chroma_only,8,True,0.7,,188.9302000636235,0.6275,0.5988988095238095,0.611709142477726,0.138125,0.5825,2,88,40,26,120,73
2,0.610749,chroma_only,9,True,0.85,,182.75180005002767,0.6375,0.6029305555555555,0.6169247825359825,0.15722222222222249,0.5825,2,88,40,26,120,118
3,0.592526,chroma_only,10,True,0.9,,178.89749992173165,0.62,0.5868819444444444,0.6004985574347965,0.1695000000000002,0.5825,2,88,40,26,120,42
4,0.608410,chroma_only,8,True,0.75,,185.25679991580546,0.6325,0.6009375,0.6142398967540503,0.14125,0.5825,2,88,40,26,120,141
5,0.600593,chroma_only,8,True,0.75,,178.49229997955263,0.625,0.5940416666666667,0.607202423194709,0.1465625,0.5825,2,88,40,26,120,49
6,0.604201,chroma_only,9,True,0.9,,185.0785999558866,0.63,0.5977777777777777,0.6112817669239197,0.15611111111111142,0.5825,2,88,40,26,120,107
7,0.610804,chroma_only,9,True,0.85,,182.73210001643747,0.6375,0.6029305555555555,0.6169247825359825,0.1566666666666669,0.5825,2,88,40,26,120,120
8,0.599626,chroma_only,9,True,0.75,,178.03349997848272,0.625,0.5955902777777777,0.6083718795898897,0.16166666666666707,0.5825,2,88,40,26,120,40
9,0.612438,chroma_only,9,True,0.8,,187.3003999935463,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,149
10,0.611516,chroma_only,10,True,0.8,,179.068100056611,0.64,0.6026180555555556,0.6172128117392017,0.16450000000000015,0.5825,2,88,40,26,120,156
11,0.611516,chroma_only,10,True,0.8,,179.69160003121942,0.64,0.6026180555555556,0.6172128117392017,0.16450000000000015,0.5825,2,88,40,26,120,160
12,0.611516,chroma_only,10,True,0.8,,180.190599989146,0.64,0.6026180555555556,0.6172128117392017,0.16450000000000015,0.5825,2,88,40,26,120,157
13,0.611516,chroma_only,10,True,0.8,,197.76200002525002,0.64,0.6026180555555556,0.6172128117392017,0.16450000000000015,0.5825,2,88,40,26,120,137
14,0.608383,chroma_only,10,True,0.8,,195.19230001606047,0.635,0.6023125,0.6158542654202381,0.16250000000000017,0.5825,2,88,40,26,120,90
15,0.612438,chroma_only,9,True,0.8,,188.84279998019338,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,149
16,0.608276,chroma_only,9,True,0.7,,181.56609998550266,0.6325,0.6031041666666667,0.6160542789705148,0.1505555555555559,0.5825,2,88,40,26,120,123
17,0.607467,chroma_only,9,True,0.8,,180.09550007991493,0.6325,0.6020625,0.6151316033544434,0.15472222222222254,0.5825,2,88,40,26,120,91
18,0.612438,chroma_only,9,True,0.8,,181.4011000096798,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,146
19,0.611461,chroma_only,9,True,0.8,,179.76890003774315,0.6375,0.6041805555555555,0.6178474581520539,0.15444444444444472,0.5825,2,88,40,26,120,129
20,0.610763,chroma_only,9,True,0.85,,179.3279000557959,0.6375,0.6029652777777779,0.6169608697387869,0.1572222222222225,0.5825,2,88,40,26,120,107
21,0.612438,chroma_only,9,True,0.8,,179.3636999791488,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,149
22,0.612438,chroma_only,9,True,0.8,,180.35199993755668,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,144
23,0.612522,chroma_only,9,True,0.8,,179.6978999627754,0.64,0.6026180555555556,0.6172128117392017,0.15444444444444472,0.5825,2,88,40,26,120,131
24,0.609267,chroma_only,9,True,0.7,,179.59369998425245,0.635,0.6015069444444444,0.6153835453548582,0.15111111111111142,0.5825,2,88,40,26,120,130
25,0.604591,chroma_only,8,True,0.9,,180.2304999437183,0.63,0.5959821428571428,0.6099392166632766,0.1459375,0.5825,2,88,40,26,120,151
26,0.612522,chroma_only,9,True,0.8,,179.30720001459122,0.64,0.6026180555555556,0.6172128117392017,0.15444444444444472,0.5825,2,88,40,26,120,133
27,0.612522,chroma_only,9,True,0.8,,181.44730001222342,0.64,0.6026180555555556,0.6172128117392017,0.15444444444444472,0.5825,2,88,40,26,120,131
28,0.611531,chroma_only,9,True,0.8,,179.19980001170188,0.6375,0.6042152777777778,0.6178835453548583,0.15388888888888919,0.5825,2,88,40,26,120,111
29,0.612522,chroma_only,9,True,0.8,,179.63489994872361,0.64,0.6026180555555556,0.6172128117392017,0.15444444444444472,0.5825,2,88,40,26,120,132
30,0.603095,chroma_only,8,True,0.85,,177.98169993329793,0.6275,0.5970624999999999,0.6101316033544434,0.1484375,0.5825,2,88,40,26,120,97
31,0.612522,chroma_only,9,True,0.8,,180.0151999341324,0.64,0.6026180555555556,0.6172128117392017,0.15444444444444472,0.5825,2,88,40,26,120,132
32,0.612438,chroma_only,9,True,0.8,,180.54620001930743,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,137
33,0.608146,chroma_only,9,True,0.7,,179.22229995019734,0.6325,0.6029791666666666,0.6159447195934176,0.1513888888888892,0.5825,2,88,40,26,120,114
34,0.611461,chroma_only,9,True,0.8,,180.41799997445196,0.6375,0.6041805555555555,0.6178474581520539,0.15444444444444472,0.5825,2,88,40,26,120,128
35,0.604312,chroma_only,9,True,0.9,,179.23180002253503,0.63,0.5977777777777777,0.6112817669239197,0.15500000000000028,0.5825,2,88,40,26,120,122
36,0.604639,chroma_only,8,True,0.75,,177.0701000932604,0.6275,0.5984375,0.6111638383476119,0.1378125,0.5825,2,88,40,26,120,77
37,0.612438,chroma_only,9,True,0.8,,180.50570006016642,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,137
38,0.607846,chroma_only,9,True,0.8,,178.68180002551526,0.6325,0.6033124999999999,0.6160542789705148,0.15527777777777807,0.5825,2,88,40,26,120,102
39,0.607444,chroma_only,8,True,0.75,,178.53060003835708,0.63,0.6025,0.6148745431669024,0.1403125,0.5825,2,88,40,26,120,116
40,0.594951,chroma_only,9,True,0.9,,177.7382999425754,0.62,0.5905,0.6034202655464077,0.15833333333333358,0.5825,2,88,40,26,120,64
41,0.612522,chroma_only,9,True,0.8,,179.340900038369,0.64,0.6026180555555556,0.6172128117392017,0.15444444444444472,0.5825,2,88,40,26,120,132
42,0.611517,chroma_only,9,True,0.8,,178.32119995728135,0.6375,0.6041805555555555,0.6178474581520539,0.15388888888888916,0.5825,2,88,40,26,120,123
43,0.612438,chroma_only,9,True,0.8,,179.94249996263534,0.64,0.6026180555555556,0.6172128117392017,0.15527777777777804,0.5825,2,88,40,26,120,141
44,0.609272,chroma_only,9,True,0.85,,178.96940000355244,0.6375,0.5989126984126985,0.6138348072644993,0.15777777777777804,0.5825,2,88,40,26,120,133
45,0.611544,chroma_only,9,True,0.8,,179.6710001071915,0.6375,0.6041805555555555,0.6178474581520539,0.15361111111111136,0.5825,2,88,40,26,120,126
46,0.611517,chroma_only,9,True,0.8,,180.02890003845096,0.6375,0.6041805555555555,0.6178474581520539,0.15388888888888916,0.5825,2,88,40,26,120,118
