trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.608291,chroma_only,9,True,0.85,,188.74679994769394,0.635,0.6004652777777778,0.6144608697387869,0.15694444444444475,0.5825,2,88,44,26,120,108
1,0.595444,chroma_only,9,True,0.85,,209.0053999563679,0.6225,0.5877876984126984,0.6017909838512294,0.15972222222222254,0.5825,2,120,44,26,140,52
2,0.607523,chroma_only,9,True,0.85,,188.80510004237294,0.6325,0.6025,0.6155291919347597,0.1558333333333336,0.5825,2,104,36,26,120,120
3,0.604781,chroma_only,9,True,0.85,,194.03100002091378,0.63,0.5998749999999999,0.6129196325576626,0.1577777777777781,0.5825,2,96,40,26,140,128
4,0.596643,chroma_only,9,True,0.85,,188.31429991405457,0.6225,0.5916319444444444,0.6047758953690018,0.16138888888888928,0.5825,2,88,40,26,120,41
5,0.593249,chroma_only,9,True,0.85,,186.35019997600466,0.62,0.5852876984126985,0.5992909838512294,0.15666666666666695,0.5825,2,120,48,26,120,54
6,0.596754,chroma_only,9,True,0.85,,185.8795000007376,0.6225,0.5916319444444444,0.6047758953690018,0.16027777777777819,0.5825,2,88,36,26,140,41
7,0.607495,chroma_only,9,True,0.85,,192.5446999957785,0.6325,0.6025,0.6155291919347597,0.1561111111111114,0.5825,2,104,36,26,120,115
8,0.599967,chroma_only,9,True,0.85,,198.0061000213027,0.625,0.595,0.6080291919347597,0.15638888888888922,0.5825,2,120,48,26,140,114
9,0.609244,chroma_only,9,True,0.85,,196.2357999291271,0.6375,0.5989126984126985,0.6138348072644993,0.15805555555555587,0.5825,2,88,40,26,120,159
10,0.605934,chroma_only,9,True,0.85,,194.54810000024736,0.6325,0.5984821428571429,0.6124392166632765,0.1575000000000003,0.5825,2,112,40,26,120,160
11,0.601940,chroma_only,9,True,0.85,,195.14970004092902,0.6275,0.5959375,0.6093184871154691,0.1561111111111114,0.5825,2,88,44,26,120,82
12,0.606684,chroma_only,9,True,0.85,,194.07279998995364,0.635,0.5963333333333333,0.6112540489203259,0.15833333333333363,0.5825,2,88,44,26,120,158
13,0.609244,chroma_only,9,True,0.85,,193.4269000776112,0.6375,0.5989126984126985,0.6138348072644993,0.15805555555555587,0.5825,2,88,40,26,120,140
14,0.605934,chroma_only,9,True,0.85,,193.72260000091046,0.6325,0.5984821428571429,0.6124392166632765,0.1575000000000003,0.5825,2,112,40,26,120,140
15,0.605860,chroma_only,9,True,0.85,,194.88619989715517,0.6325,0.5983571428571429,0.6123296572861794,0.1577777777777781,0.5825,2,96,40,26,120,145
16,0.604393,chroma_only,9,True,0.85,,190.91350003145635,0.63,0.5983125,0.611708927738372,0.15611111111111142,0.5825,2,88,40,26,120,91
17,0.609244,chroma_only,9,True,0.85,,193.391100037843,0.6375,0.5989126984126985,0.6138348072644993,0.15805555555555587,0.5825,2,88,40,26,120,140
18,0.609244,chroma_only,9,True,0.85,,196.01730001159012,0.6375,0.5989126984126985,0.6138348072644993,0.15805555555555587,0.5825,2,88,40,26,140,149
19,0.597337,chroma_only,9,True,0.85,,193.4574000770226,0.6225,0.592375,0.6054196325576626,0.15722222222222254,0.5825,2,96,48,26,120,126
20,0.602190,chroma_only,9,True,0.85,,184.10289997700602,0.6275,0.5959375,0.6093184871154691,0.15361111111111136,0.5825,2,112,40,26,120,73
21,0.609300,chroma_only,9,True,0.85,,190.16889994964004,0.6375,0.5989126984126985,0.6138348072644993,0.1575000000000003,0.5825,2,88,40,26,120,132
22,0.609244,chroma_only,9,True,0.85,,188.32439999096096,0.6375,0.5989126984126985,0.6138348072644993,0.15805555555555587,0.5825,2,88,40,26,120,134
23,0.609244,chroma_only,9,True,0.85,,189.26130002364516,0.6375,0.5989126984126985,0.6138348072644993,0.15805555555555587,0.5825,2,88,40,26,120,152
24,0.607133,chroma_only,9,True,0.85,,187.82510003075004,0.6325,0.6020625,0.6151316033544434,0.15805555555555587,0.5825,2,88,40,26,120,99
25,0.605962,chroma_only,9,True,0.85,,188.76380007714033,0.6325,0.5984821428571429,0.6124392166632765,0.15722222222222254,0.5825,2,104,40,26,120,135
26,0.609244,chroma_only,9,True,0.85,,190.7467000419274,0.6375,0.5989126984126985,0.6138348072644993,0.15805555555555587,0.5825,2,88,40,26,140,151
27,0.600721,chroma_only,9,True,0.85,,190.65630005206913,0.6275,0.5929305555555555,0.6069247825359825,0.1575000000000003,0.5825,2,88,48,26,120,128
28,0.609272,chroma_only,9,True,0.85,,186.13889999687672,0.6375,0.5989126984126985,0.6138348072644993,0.1577777777777781,0.5825,2,88,36,26,120,144
29,0.607244,chroma_only,9,True,0.85,,186.3433999242261,0.6325,0.6020625,0.6151316033544434,0.15694444444444478,0.5825,2,88,36,26,120,101
30,0.605887,chroma_only,9,True,0.85,,188.50980000570416,0.6325,0.5983571428571429,0.6123296572861794,0.1575000000000003,0.5825,2,96,36,26,120,160
31,0.609272,chroma_only,9,True,0.85,,187.96230002772063,0.6375,0.5989126984126985,0.6138348072644993,0.1577777777777781,0.5825,2,88,36,26,120,143
32,0.609272,chroma_only,9,True,0.85,,187.62040010187775,0.6375,0.5989126984126985,0.6138348072644993,0.1577777777777781,0.5825,2,88,36,26,120,146
33,0.607550,chroma_only,9,True,0.85,,186.85330008156598,0.6325,0.6025,0.6155291919347597,0.1555555555555558,0.5825,2,120,36,26,120,122
34,0.605990,chroma_only,9,True,0.85,,187.61969998013228,0.6325,0.5984821428571429,0.6124392166632765,0.15694444444444475,0.5825,2,104,36,26,140,135
35,0.609272,chroma_only,9,True,0.85,,186.76070007495582,0.6375,0.5989126984126985,0.6138348072644993,0.1577777777777781,0.5825,2,88,36,26,120,148
36,0.610832,chroma_only,9,True,0.85,,186.23240001033992,0.6375,0.6029305555555555,0.6169247825359825,0.15638888888888916,0.5825,2,88,36,26,120,115
37,0.608950,chroma_only,9,True,0.85,,186.01030006539077,0.635,0.6023402777777779,0.6158841783436034,0.15694444444444475,0.5825,2,88,36,26,120,105
38,0.606659,chroma_only,9,True,0.85,,186.31920008920133,0.6325,0.6003125,0.613817854126724,0.15666666666666698,0.5825,2,120,36,26,140,110
39,0.607523,chroma_only,9,True,0.85,,185.6831000186503,0.6325,0.6025,0.6155291919347597,0.1558333333333336,0.5825,2,112,36,26,120,118
40,0.602300,chroma_only,9,True,0.85,,190.9022000618279,0.6275,0.5975,0.6105291919347597,0.15805555555555587,0.5825,2,104,44,26,120,127
41,0.609272,chroma_only,9,True,0.85,,186.21620000340044,0.6375,0.5989126984126985,0.6138348072644993,0.1577777777777781,0.5825,2,88,36,26,120,143
42,0.609272,chroma_only,9,True,0.85,,186.600900022313,0.6375,0.5989126984126985,0.6138348072644993,0.1577777777777781,0.5825,2,88,36,26,120,137
43,0.609300,chroma_only,9,True,0.85,,186.3431999227032,0.6375,0.5989126984126985,0.6138348072644993,0.1575000000000003,0.5825,2,88,36,26,120,130
44,0.610860,chroma_only,9,True,0.85,,185.652400017716,0.6375,0.6029305555555555,0.6169247825359825,0.15611111111111137,0.5825,2,88,36,26,120,121
45,0.610860,chroma_only,9,True,0.85,,185.90739998035133,0.6375,0.6029305555555555,0.6169247825359825,0.15611111111111137,0.5825,2,88,36,26,120,121
46,0.606632,chroma_only,9,True,0.85,,185.70839997846633,0.6325,0.6003125,0.613817854126724,0.15694444444444475,0.5825,2,120,36,26,140,112
47,0.608304,chroma_only,9,True,0.85,,189.8291000397876,0.635,0.6004305555555556,0.6144247825359825,0.15666666666666693,0.5825,2,88,44,26,120,122
48,0.607448,chroma_only,9,True,0.85,,188.44220007304102,0.6325,0.602375,0.6154196325576626,0.1561111111111114,0.5825,2,96,36,26,120,116
49,0.603374,chroma_only,9,True,0.85,,189.29110001772642,0.63,0.5954652777777778,0.6094608697387869,0.15611111111111145,0.5825,2,88,48,26,120,107
50,0.604254,chroma_only,9,True,0.85,,184.55340003129095,0.63,0.5983125,0.611708927738372,0.1575000000000003,0.5825,2,88,36,26,120,92
51,0.609300,chroma_only,9,True,0.85,,187.8307000733912,0.6375,0.5989126984126985,0.6138348072644993,0.1575000000000003,0.5825,2,88,36,26,120,132
52,0.609300,chroma_only,9,True,0.85,,187.7181000309065,0.6375,0.5989126984126985,0.6138348072644993,0.1575000000000003,0.5825,2,88,36,26,120,131
