trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.583333,chroma_only,10,True,0.5,,619.6440000785515,0.5833333333333334,0.45161375661375663,0.4821386159988004,0.10166666666666666,0.48333333333333334,1,60,40,24,100,100
1,0.650000,chroma_only,5,False,0.7000000000000001,,53.489900077693164,0.65,0.6416666666666667,0.6438488292261909,0.03666666666666665,0.48333333333333334,3,180,94,32,180,60
2,0.650000,chroma_only,6,False,0.7000000000000001,,58.64980001933873,0.65,0.6416666666666667,0.6438488292261909,0.047222222222222214,0.48333333333333334,3,140,134,20,220,140
3,0.650000,chroma_only,12,False,0.2,,60.263800085522234,0.65,0.6416666666666667,0.6438488292261909,0.09444444444444447,0.48333333333333334,2,160,46,12,240,148
4,0.633333,chroma_only,7,True,0.30000000000000004,,958.3499999716878,0.6333333333333333,0.625,0.6271821625595243,0.05476190476190476,0.48333333333333334,3,160,94,28,200,80
5,0.650000,chroma_only,11,True,0.7000000000000001,,873.3266999479383,0.65,0.5661111111111111,0.5866606107973044,0.11363636363636358,0.48333333333333334,3,160,63,32,240,64
6,0.650000,chroma_only,12,True,0.5,,869.5856999838725,0.65,0.6416666666666667,0.6438488292261909,0.09722222222222224,0.48333333333333334,2,140,136,24,140,68
7,0.633333,chroma_only,10,True,0.0,,766.4435000624508,0.6333333333333333,0.625,0.6271821625595243,0.08166666666666664,0.48333333333333334,3,180,170,48,240,40
8,0.633333,chroma_only,10,True,0.1,,764.779300079681,0.6333333333333333,0.625,0.6271821625595243,0.08499999999999999,0.48333333333333334,1,200,90,36,220,40
9,0.633333,chroma_only,8,True,0.1,,763.5890999808908,0.6333333333333333,0.625,0.6271821625595243,0.06666666666666667,0.48333333333333334,2,180,104,44,200,40
10,0.650000,chroma_only,4,False,0.8,,58.77329991199076,0.65,0.6416666666666667,0.6438488292261909,0.020833333333333332,0.48333333333333334,2,100,24,40,160,120
11,0.650000,chroma_only,5,False,0.7000000000000001,,57.96220002230257,0.65,0.6416666666666667,0.6438488292261909,0.039999999999999994,0.48333333333333334,3,120,114,16,180,140
12,0.650000,chroma_only,6,False,0.6000000000000001,,57.48709989711642,0.65,0.6416666666666667,0.6438488292261909,0.047222222222222214,0.48333333333333334,3,100,64,20,140,160
13,0.650000,chroma_only,7,False,0.8,,58.81650000810623,0.65,0.6416666666666667,0.6438488292261909,0.05476190476190475,0.48333333333333334,3,200,154,32,220,120
14,0.650000,chroma_only,4,False,0.4,,57.86379997152835,0.65,0.6416666666666667,0.6438488292261909,0.020833333333333332,0.48333333333333334,3,120,84,20,180,100
15,0.650000,chroma_only,6,False,0.6000000000000001,,57.16879991814494,0.65,0.6416666666666667,0.6438488292261909,0.047222222222222214,0.48333333333333334,2,140,114,12,220,120
16,0.650000,chroma_only,5,False,0.7000000000000001,,56.72440002672374,0.65,0.6416666666666667,0.6438488292261909,0.03666666666666665,0.48333333333333334,3,60,24,28,100,80
17,0.650000,chroma_only,8,False,0.5,,59.971499955281615,0.65,0.6416666666666667,0.6438488292261909,0.05625,0.48333333333333334,2,180,134,20,200,160
18,0.650000,chroma_only,6,False,0.8,,56.89640005584806,0.65,0.6416666666666667,0.6438488292261909,0.047222222222222214,0.48333333333333334,1,100,74,36,160,60
19,0.650000,chroma_only,5,False,0.6000000000000001,,57.85660003311932,0.65,0.6416666666666667,0.6438488292261909,0.039999999999999994,0.48333333333333334,3,140,114,24,180,140
