trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.363636,baseline,4,False,0.0,180,34.94100004900247,0.36363636363636365,0.32828282828282823,0.3373009016233775,0.0,0.45454545454545453,1,160,84,20,100,100
1,0.454545,baseline,11,True,0.8,160,541.8459000065923,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,2,80,83,40,108,104
2,0.454545,chroma_only,10,True,0.0,,1164.3399000167847,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.45454545454545453,3,120,50,16,180,160
3,0.606061,chroma_only,9,False,0.7000000000000001,,160.14600009657443,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,120,117,40,100,140
4,0.454545,baseline,10,False,0.4,280,27.44550001807511,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,3,200,120,44,200,60
5,0.575758,chroma_only,10,True,0.1,,1161.5025999490172,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.45454545454545453,1,120,110,40,120,60
6,0.606061,chroma_only,7,False,0.7000000000000001,,160.5493000242859,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,180,84,20,240,160
7,0.454545,baseline,9,False,0.30000000000000004,180,27.561399969272316,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,1,180,37,24,140,60
8,0.606061,chroma_only,5,False,0.1,,161.79549996741116,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,1,100,74,24,100,140
9,0.454545,baseline,8,False,0.30000000000000004,320,27.127300039865077,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,1,200,64,44,220,100
10,0.606061,chroma_only,12,True,0.6000000000000001,,670.1224000426009,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,60,106,32,156,128
11,0.606061,chroma_only,7,False,0.8,,161.03169997222722,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,160,94,12,240,160
12,0.606061,chroma_only,7,False,0.6000000000000001,,159.6932999091223,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,140,24,32,80,140
13,0.606061,chroma_only,6,False,0.6000000000000001,,161.3688999786973,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,140,94,36,180,160
14,0.606061,chroma_only,8,False,0.7000000000000001,,158.47899997606874,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,100,104,48,240,120
15,0.606061,chroma_only,6,False,0.5,,163.99550007190555,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,160,64,28,140,140
16,0.606061,chroma_only,8,False,0.7000000000000001,,160.23020003922284,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,180,54,12,80,160
17,0.606061,chroma_only,9,False,0.5,,150.6509999744594,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,80,117,20,200,80
18,0.606061,chroma_only,6,True,0.7000000000000001,,1451.376499957405,0.6060606060606061,0.585858585858586,0.5909090909090909,0.0,0.45454545454545453,2,180,94,28,140,120
19,0.606061,chroma_only,7,False,0.8,,163.59899996314198,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,140,74,36,180,140
20,0.606061,chroma_only,12,False,0.5,,160.6061999918893,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,100,86,48,216,128
21,0.606061,chroma_only,4,False,0.1,,160.64879996702075,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,100,74,24,100,140
22,0.606061,chroma_only,5,False,0.2,,160.8029999770224,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,120,54,20,120,160
23,0.606061,chroma_only,5,False,0.4,,158.37169997394085,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,1,80,74,24,80,140
24,0.606061,chroma_only,5,False,0.30000000000000004,,160.13530001509935,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,100,44,16,120,120
25,0.606061,chroma_only,9,False,0.7000000000000001,,130.42169995605946,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,120,67,28,160,40
26,0.454545,baseline,7,True,0.2,80,455.6278999662027,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,1,140,104,16,100,160
27,0.606061,chroma_only,6,False,0.4,,159.2058000387624,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,60,84,36,80,140
28,0.606061,chroma_only,4,False,0.6000000000000001,,164.1811999725178,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,80,94,24,160,160
29,0.454545,baseline,8,False,0.1,80,25.683300103992224,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,1,160,84,20,100,100
30,0.606061,chroma_only,5,False,0.0,,150.66310006659478,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,1,100,24,32,120,80
31,0.606061,chroma_only,12,True,0.6000000000000001,,670.9180000470951,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,60,106,32,136,128
32,0.606061,chroma_only,11,True,0.7000000000000001,,673.4586000675336,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,2,60,113,40,168,124
33,0.606061,chroma_only,11,True,0.8,,832.849400001578,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,80,103,20,108,124
34,0.454545,baseline,12,True,0.5,260,545.5994000658393,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,2,120,116,44,196,108
35,0.606061,chroma_only,10,True,0.6000000000000001,,678.3893000101671,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,60,120,28,220,140
36,0.606061,chroma_only,9,True,0.8,,1187.2762000421062,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,1,120,97,40,100,140
37,0.454545,baseline,10,True,0.7000000000000001,240,545.2506999718025,0.45454545454545453,0.3427128427128427,0.36899022609457083,0.0,0.45454545454545453,1,200,120,36,160,160
38,0.575758,chroma_only,11,True,0.0,,1367.0369000174105,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.45454545454545453,3,160,83,24,128,84
39,0.606061,chroma_only,7,False,0.4,,166.21529997792095,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,3,180,104,32,200,160
