trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.575000,baseline,9,False,0.0,160,33.81950000766665,0.575,0.50625,0.5234940685729168,0.0,0.6,2,140,97,32,200,100
1,0.575000,baseline,8,False,0.30000000000000004,180,28.982799965888262,0.575,0.50625,0.5234940685729168,0.0,0.6,2,60,74,28,220,60
2,0.705000,chroma_only,5,False,0.5,,57.85039998590946,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,3,200,54,16,220,100
3,0.695000,chroma_only,9,True,0.5,,774.1850999882445,0.695,0.6708809523809524,0.6766912641740942,0.0,0.6,1,180,77,12,80,100
4,0.705000,chroma_only,9,True,0.2,,705.5610000388697,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,3,80,97,32,140,140
5,0.575000,baseline,12,True,0.0,280,526.1422999901697,0.575,0.49834343434343437,0.5167825795209986,0.0,0.6,3,100,46,44,176,128
6,0.705000,chroma_only,4,False,0.5,,59.912400087341666,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,2,60,54,28,220,140
7,0.575000,baseline,7,False,0.0,300,34.347299952059984,0.575,0.50625,0.5234940685729168,0.0,0.6,1,160,94,24,140,60
8,0.535000,baseline,9,True,0.30000000000000004,120,520.0133000034839,0.535,0.48595833333333327,0.4979615465796919,0.0,0.6,1,80,37,16,140,120
9,0.565000,baseline,4,False,0.30000000000000004,260,34.04419997241348,0.565,0.5045833333333334,0.5199319967018365,0.0,0.6,1,80,114,44,220,100
10,0.695000,chroma_only,6,False,0.8,,52.35659994650632,0.695,0.6841666666666667,0.6869639463035719,0.0,0.6,3,200,24,20,240,40
11,0.675000,chroma_only,11,True,0.7000000000000001,,807.2746999096125,0.675,0.6361587301587303,0.6455391232666229,0.0,0.6,3,120,63,40,108,144
12,0.690000,chroma_only,6,True,0.2,,795.3137999866158,0.69,0.6816666666666668,0.6838092975357145,0.0,0.6,3,200,94,36,160,160
13,0.700000,chroma_only,10,True,0.6000000000000001,,729.7710999846458,0.7,0.6891666666666667,0.6919639463035719,0.0,0.6,3,120,120,20,180,80
14,0.705000,chroma_only,6,False,0.2,,60.93260005582124,0.705,0.6941666666666667,0.696963946303572,0.0,0.6,3,160,84,36,120,160
