trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.665000,chroma_only,6,True,0.1,,964.9244999745861,0.665,0.625,0.6351986044914495,0.0,0.6,1,100,104,40,160,160
1,0.585000,baseline,11,True,0.4,280,559.7741999663413,0.585,0.545,0.5550156941234178,0.0,0.6,3,80,73,12,128,84
2,0.580000,baseline,4,True,0.6000000000000001,240,639.6884000860155,0.58,0.5445833333333333,0.5535812753975107,0.0,0.6,2,200,104,32,120,80
3,0.670000,chroma_only,8,True,0.2,,900.3811000147834,0.67,0.624375,0.6357746628978878,0.0,0.6,3,80,84,48,100,140
4,0.660000,chroma_only,8,True,0.0,,759.8033000249416,0.66,0.6126666666666667,0.6243248369693979,0.0,0.6,3,80,64,16,100,60
5,0.670000,chroma_only,5,False,0.1,,157.14689996093512,0.67,0.6276666666666666,0.6383235709919076,0.0,0.6,2,180,94,24,220,80
6,0.660000,chroma_only,4,True,0.4,,903.5505999345332,0.66,0.6225,0.6320439557235922,0.0,0.6,1,200,84,20,140,160
7,0.675000,chroma_only,6,False,0.0,,138.45790002960712,0.675,0.6305833333333333,0.641824836969398,0.0,0.6,1,100,44,20,80,160
8,0.585000,baseline,7,False,0.5,280,206.91760000772774,0.585,0.5462499999999999,0.5560812753975106,0.0,0.6,2,100,64,44,120,40
9,0.590000,baseline,8,True,0.6000000000000001,80,499.17339999228716,0.59,0.5504166666666666,0.5605452217010826,0.0,0.6,1,100,34,12,80,100
10,0.680000,chroma_only,11,False,0.30000000000000004,,192.44270003400743,0.68,0.6271666666666667,0.6402060004941191,0.0,0.6,1,140,33,32,188,124
11,0.680000,chroma_only,11,False,0.8,,191.7403000406921,0.68,0.6271666666666667,0.6402060004941191,0.0,0.6,1,140,33,32,188,124
12,0.680000,chroma_only,12,False,0.8,,191.39409996569157,0.68,0.6271666666666667,0.6402060004941191,0.0,0.6,1,140,46,32,216,128
13,0.675000,chroma_only,10,False,0.8,,201.5061000129208,0.675,0.6264583333333333,0.6385569648109182,0.0,0.6,1,140,30,36,180,120
14,0.680000,chroma_only,10,False,0.30000000000000004,,171.5645999647677,0.68,0.6301388888888888,0.6424835244278192,0.0,0.6,2,160,50,28,180,120
15,0.680000,chroma_only,12,False,0.6000000000000001,,202.360299997963,0.68,0.6269128787878787,0.6399516795391739,0.0,0.6,2,160,56,36,196,108
16,0.680000,chroma_only,10,False,0.30000000000000004,,172.34199994709343,0.68,0.6301388888888888,0.6424835244278192,0.0,0.6,1,120,30,28,240,140
17,0.675000,chroma_only,11,False,0.7000000000000001,,221.14789998158813,0.675,0.6263392857142857,0.6384425955420447,0.0,0.6,1,160,43,40,168,104
18,0.595000,baseline,9,False,0.30000000000000004,120,129.66810003854334,0.595,0.5465476190476191,0.5584025908320346,0.0,0.6,1,120,27,24,200,140
19,0.680000,chroma_only,11,False,0.5,,204.1730999480933,0.68,0.6269128787878787,0.6399516795391739,0.0,0.6,2,140,53,36,188,124
20,0.680000,chroma_only,9,False,0.2,,159.80639995541424,0.68,0.6307222222222222,0.6429833697380849,0.0,0.6,2,180,117,24,240,100
21,0.680000,chroma_only,12,False,0.8,,189.91850002203137,0.68,0.6271666666666667,0.6402060004941191,0.0,0.6,1,140,46,32,216,128
22,0.680000,chroma_only,12,False,0.7000000000000001,,189.83009993098676,0.68,0.6271666666666667,0.6402060004941191,0.0,0.6,1,120,46,32,216,128
23,0.675000,chroma_only,11,False,0.8,,220.9830000065267,0.675,0.6263392857142857,0.6384425955420447,0.0,0.6,1,140,33,40,208,124
24,0.685000,chroma_only,12,False,0.7000000000000001,,173.5662999562919,0.685,0.6305555555555555,0.6438347151999558,0.0,0.6,1,160,66,28,156,108
25,0.680000,chroma_only,9,False,0.7000000000000001,,169.23660004977137,0.68,0.6301388888888888,0.6424835244278192,0.0,0.6,1,180,77,28,160,100
26,0.590000,baseline,10,False,0.5,160,172.87600005511194,0.59,0.5456388888888888,0.55653174950742,0.0,0.6,1,160,60,36,140,80
27,0.680000,chroma_only,11,False,0.7000000000000001,,172.1372000174597,0.68,0.6301388888888888,0.6424835244278192,0.0,0.6,2,160,63,28,168,104
28,0.695000,chroma_only,12,False,0.6000000000000001,,142.10479997564107,0.695,0.6338017676767677,0.648621117713543,0.0,0.6,1,60,76,20,156,108
29,0.690000,chroma_only,12,False,0.5,,139.58710001315922,0.69,0.6313017676767676,0.6454664689456858,0.0,0.6,1,120,76,20,156,88
30,0.685000,chroma_only,12,False,0.6000000000000001,,137.609799974598,0.685,0.6298888888888887,0.6432851051972337,0.0,0.6,1,60,76,20,156,68
31,0.685000,chroma_only,12,False,0.6000000000000001,,134.756000014022,0.685,0.6298888888888887,0.6432851051972337,0.0,0.6,1,60,76,20,156,68
32,0.690000,chroma_only,12,False,0.5,,120.38390000816435,0.69,0.6320833333333332,0.6461774484087591,0.0,0.6,1,60,86,16,156,68
33,0.695000,chroma_only,12,False,0.5,,122.86490004044026,0.695,0.6328472222222221,0.6478863099386905,0.0,0.6,1,60,86,16,136,88
34,0.585000,baseline,12,True,0.4,320,571.761199971661,0.585,0.54475,0.5547965753692234,0.0,0.6,1,60,96,16,136,88
35,0.690000,chroma_only,11,True,0.5,,736.5776000078768,0.69,0.6388809523809522,0.6514355617901637,0.0,0.6,3,80,93,12,128,64
36,0.685000,chroma_only,10,False,0.4,,119.45190001279116,0.685,0.63125,0.6444796404269896,0.0,0.6,1,60,90,16,120,40
37,0.695000,chroma_only,12,True,0.5,,768.8441999489442,0.695,0.6328472222222221,0.6478863099386905,0.0,0.6,2,80,106,16,136,88
38,0.585000,baseline,7,True,0.6000000000000001,200,557.1857000468299,0.585,0.545,0.5550156941234178,0.0,0.6,3,80,104,12,100,80
39,0.690000,chroma_only,11,True,0.5,,767.1270999126136,0.69,0.6323115079365079,0.6464207498976805,0.0,0.6,2,80,113,16,108,84
40,0.670000,chroma_only,5,True,0.4,,782.1344999829307,0.67,0.6291666666666667,0.6395439557235921,0.0,0.6,3,80,104,20,140,80
41,0.695000,chroma_only,12,True,0.5,,616.6075000073761,0.695,0.6328472222222221,0.6478863099386905,0.0,0.6,2,60,86,16,156,88
42,0.685000,chroma_only,12,True,0.4,,649.488199967891,0.685,0.6290934343434342,0.6425746264706197,0.0,0.6,2,60,76,24,136,88
43,0.680000,chroma_only,11,True,0.5,,827.796799945645,0.68,0.6281448412698413,0.6407661011298232,0.0,0.6,2,100,83,16,148,84
44,0.685000,chroma_only,12,True,0.6000000000000001,,802.3703000508249,0.685,0.6356031746031746,0.6476217748045769,0.0,0.6,2,100,86,12,116,88
45,0.695000,chroma_only,11,True,0.5,,635.5616000946611,0.695,0.6338017676767677,0.648621117713543,0.0,0.6,2,60,73,20,168,104
46,0.585000,baseline,11,True,0.5,160,575.8967000292614,0.585,0.54475,0.5547965753692234,0.0,0.6,2,60,103,16,168,104
47,0.700000,chroma_only,10,True,0.6000000000000001,,602.3480999283493,0.7,0.6422698412698413,0.6564310723402916,0.0,0.6,2,60,70,12,140,100
48,0.700000,chroma_only,10,True,0.6000000000000001,,754.6682000393048,0.7,0.6422698412698413,0.6564310723402916,0.0,0.6,2,80,120,12,140,100
49,0.695000,chroma_only,8,True,0.6000000000000001,,753.5909999860451,0.695,0.6417142857142857,0.6549259223619717,0.0,0.6,2,80,114,12,120,100
50,0.700000,chroma_only,9,True,0.6000000000000001,,754.1707999771461,0.7,0.6422698412698413,0.6564310723402916,0.0,0.6,3,80,117,12,140,100
51,0.700000,chroma_only,9,True,0.6000000000000001,,754.7630000626668,0.7,0.6422698412698413,0.6564310723402916,0.0,0.6,3,80,117,12,140,100
52,0.700000,chroma_only,9,True,0.6000000000000001,,754.4610999757424,0.7,0.6422698412698413,0.6564310723402916,0.0,0.6,3,80,117,12,140,100
53,0.700000,chroma_only,9,True,0.6000000000000001,,752.9058000072837,0.7,0.6422698412698413,0.6564310723402916,0.0,0.6,3,80,117,12,140,100
54,0.700000,chroma_only,9,True,0.7000000000000001,,840.7672999892384,0.7,0.6422698412698413,0.6564310723402916,0.0,0.6,3,100,117,12,120,100
