trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.424242,baseline,6,True,0.0,320,1442.8956999909133,0.42424242424242425,0.35353535353535354,0.4083113297381503,0.0,0.45454545454545453,3,100,104,12,200,100
1,0.424242,baseline,8,True,0.1,120,661.8629000149667,0.42424242424242425,0.3528138528138528,0.40761818265406885,0.0,0.45454545454545453,1,200,44,16,120,120
2,0.484848,chroma_only,9,True,0.1,,1227.3203999502584,0.48484848484848486,0.48484848484848486,0.48484848484848486,0.0,0.45454545454545453,2,100,47,20,200,80
3,0.606061,chroma_only,4,False,0.6000000000000001,,193.62540007568896,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,180,64,48,100,120
4,0.606061,chroma_only,8,False,0.4,,192.6274000434205,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,80,104,48,80,140
5,0.363636,baseline,5,False,0.7000000000000001,280,35.98489996511489,0.36363636363636365,0.3434343434343434,0.38672301536796716,0.0,0.45454545454545453,2,180,34,16,240,140
6,0.454545,baseline,11,False,0.4,100,34.163700067438185,0.45454545454545453,0.35786435786435783,0.41841233983916043,0.0,0.45454545454545453,2,60,93,28,188,124
7,0.424242,baseline,6,False,0.30000000000000004,180,34.483600058592856,0.42424242424242425,0.35353535353535354,0.4083113297381503,0.0,0.45454545454545453,3,60,84,16,180,160
8,0.363636,baseline,5,True,0.6000000000000001,320,730.3843999980018,0.36363636363636365,0.3434343434343434,0.38672301536796716,0.0,0.45454545454545453,3,200,54,32,160,80
9,0.454545,baseline,8,False,0.7000000000000001,120,36.47240006830543,0.45454545454545453,0.35786435786435783,0.41841233983916043,0.0,0.45454545454545453,1,140,114,28,240,140
10,0.606061,chroma_only,4,False,0.8,,151.0747999418527,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,160,74,48,80,40
11,0.606061,chroma_only,12,False,0.5,,205.86610003374517,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,100,66,48,96,108
12,0.606061,chroma_only,10,False,0.30000000000000004,,179.4163000304252,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,140,120,40,120,160
13,0.606061,chroma_only,7,False,0.5,,203.53040006011724,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,120,24,40,120,140
14,0.606061,chroma_only,4,False,0.30000000000000004,,184.61080000270158,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,80,64,40,80,80
15,0.606061,chroma_only,10,False,0.5,,163.5307000251487,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,160,90,44,100,40
16,0.606061,chroma_only,7,False,0.6000000000000001,,202.2387000033632,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,3,180,74,36,140,120
17,0.606061,chroma_only,9,False,0.4,,223.38069998659194,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,120,107,48,80,160
18,0.606061,chroma_only,12,True,0.8,,1083.8783999206498,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,80,96,44,136,128
19,0.606061,chroma_only,6,False,0.6000000000000001,,201.19239995256066,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,3,160,54,32,100,100
20,0.606061,chroma_only,5,False,0.30000000000000004,,185.0986999925226,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,80,74,24,160,60
21,0.606061,chroma_only,4,False,0.8,,157.77980000711977,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,160,84,48,80,40
22,0.606061,chroma_only,4,False,0.7000000000000001,,167.75100002996624,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,180,74,44,80,60
23,0.606061,chroma_only,5,False,0.8,,199.48050007224083,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,140,64,48,100,140
24,0.606061,chroma_only,7,False,0.4,,191.87900004908442,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,160,84,44,80,100
25,0.606061,chroma_only,4,False,0.7000000000000001,,170.6236000172794,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,180,54,36,100,60
26,0.606061,chroma_only,6,True,0.6000000000000001,,1819.6855999995023,0.6060606060606061,0.6060606060606061,0.6251796895021654,0.0,0.45454545454545453,3,200,104,48,140,140
27,0.606061,chroma_only,8,False,0.2,,202.39690004382282,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,120,34,36,120,120
28,0.606061,chroma_only,5,False,0.5,,197.02039996627718,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,1,160,74,44,80,100
29,0.606061,chroma_only,4,True,0.8,,1648.939699982293,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,140,104,40,100,80
30,0.606061,chroma_only,6,False,0.7000000000000001,,209.68440000433475,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,3,180,94,48,220,160
31,0.606061,chroma_only,11,False,0.5,,208.24089995585382,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,80,63,48,108,104
32,0.606061,chroma_only,12,False,0.5,,216.1496999906376,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,100,66,44,116,108
33,0.606061,chroma_only,9,False,0.2,,208.38179998099804,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,100,47,48,80,120
34,0.454545,baseline,10,True,0.4,220,668.7754999147728,0.45454545454545453,0.35786435786435783,0.41841233983916043,0.0,0.45454545454545453,2,100,60,44,100,140
35,0.606061,chroma_only,11,False,0.6000000000000001,,225.57390003930777,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,60,83,40,108,124
36,0.454545,baseline,9,False,0.0,200,46.53009993489832,0.45454545454545453,0.35786435786435783,0.41841233983916043,0.0,0.45454545454545453,1,120,47,48,140,80
37,0.575758,chroma_only,12,True,0.5,,2373.4472000505775,0.5757575757575758,0.5262626262626263,0.5507192894671502,0.0,0.45454545454545453,3,200,66,12,116,108
38,0.454545,baseline,7,False,0.2,260,56.4936000155285,0.45454545454545453,0.35786435786435783,0.41841233983916043,0.0,0.45454545454545453,2,60,34,44,80,100
39,0.606061,chroma_only,8,False,0.4,,276.5130000188947,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,80,54,24,100,120
40,0.424242,baseline,6,False,0.7000000000000001,160,52.76250001043081,0.42424242424242425,0.35353535353535354,0.4083113297381503,0.0,0.45454545454545453,1,180,74,40,220,140
