trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.454545,baseline,6,True,0.7000000000000001,100,1036.6060000378639,0.45454545454545453,0.45454545454545453,0.4927836214285732,0.0,0.45454545454545453,1,160,34,20,200,80
1,0.454545,baseline,8,False,0.30000000000000004,260,332.29240006767213,0.45454545454545453,0.45454545454545453,0.4927836214285732,0.0,0.45454545454545453,1,60,94,48,100,100
2,0.454545,baseline,12,True,0.0,140,1140.739000053145,0.45454545454545453,0.45454545454545453,0.4927836214285732,0.0,0.45454545454545453,1,140,116,48,236,48
3,0.606061,chroma_only,10,True,0.2,,1611.1624999903142,0.6060606060606061,0.5909090909090909,0.5948766591991351,0.0,0.45454545454545453,1,180,100,24,180,160
4,0.454545,baseline,12,False,0.4,300,283.5175000363961,0.45454545454545453,0.45454545454545453,0.4927836214285732,0.0,0.45454545454545453,1,80,66,40,176,148
5,0.454545,baseline,10,True,0.8,80,868.4950000606477,0.45454545454545453,0.45454545454545453,0.4927836214285732,0.0,0.45454545454545453,2,160,30,36,200,160
6,0.606061,chroma_only,10,False,0.8,,443.45260004047304,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,1,140,40,40,140,120
7,0.454545,baseline,6,True,0.8,120,1076.2026000302285,0.45454545454545453,0.45454545454545453,0.4927836214285732,0.0,0.45454545454545453,1,140,34,40,160,40
8,0.454545,baseline,5,False,0.6000000000000001,120,316.4134999969974,0.45454545454545453,0.45454545454545453,0.4927836214285732,0.0,0.45454545454545453,1,140,94,44,180,40
9,0.606061,chroma_only,11,True,0.8,,1615.7438000664115,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,1,100,103,32,108,44
10,0.545455,chroma_only,8,True,0.1,,2355.9214000124484,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,0.45454545454545453,3,200,74,20,240,140
11,0.606061,chroma_only,9,False,0.2,,280.27170000132173,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,200,57,12,140,120
12,0.606061,chroma_only,10,False,0.5,,319.9163000099361,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,2,180,50,28,140,120
13,0.606061,chroma_only,9,False,0.30000000000000004,,353.8824999704957,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,3,100,77,24,80,160
14,0.606061,chroma_only,10,True,0.5,,1987.314600031823,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,2,180,120,32,140,120
15,0.606061,chroma_only,8,False,0.0,,274.1439000237733,0.6060606060606061,0.6060606060606061,0.6442987729437247,0.0,0.45454545454545453,2,120,44,16,120,80
16,0.606061,chroma_only,11,True,0.2,,1902.197000104934,0.6060606060606061,0.5909090909090909,0.6139957426406945,0.0,0.45454545454545453,1,160,83,28,208,104
17,0.606061,chroma_only,7,False,0.6000000000000001,,410.94349999912083,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,3,180,24,36,160,140
18,0.606061,chroma_only,4,False,0.4,,269.112000009045,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,1,120,54,24,180,160
19,0.606061,chroma_only,11,True,0.2,,1455.370399984531,0.6060606060606061,0.5757575757575758,0.6028117957792234,0.0,0.45454545454545453,2,160,103,40,128,64
20,0.575758,chroma_only,9,True,0.1,,2222.288600052707,0.5757575757575758,0.5757575757575758,0.5757575757575758,0.0,0.45454545454545453,2,200,67,36,220,140
21,0.606061,chroma_only,11,True,0.8,,1696.6443000128493,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,1,100,103,32,108,64
22,0.606061,chroma_only,11,True,0.7000000000000001,,1595.2423000708222,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,1,80,103,24,88,84
23,0.606061,chroma_only,10,True,0.7000000000000001,,2089.801499969326,0.6060606060606061,0.5909090909090909,0.6331148260822538,0.0,0.45454545454545453,1,100,90,32,100,120
24,0.606061,chroma_only,12,True,0.6000000000000001,,1930.8464000932872,0.6060606060606061,0.5757575757575758,0.6219308792207827,0.0,0.45454545454545453,1,120,106,44,156,108
