trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.645000,chroma_only,8,True,0.6000000000000001,,805.6802999926731,0.645,0.5802142857142857,0.6034454559594375,0.0,0.605,1,100,34,32,140,140
1,0.705000,chroma_only,10,False,0.5,,55.96189992502332,0.705,0.7016666666666667,0.7207732438392864,0.0,0.605,1,100,110,28,80,80
2,0.690000,chroma_only,10,True,0.8,,816.1553000099957,0.69,0.6776666666666668,0.6976431925788564,0.0,0.605,2,120,80,12,100,100
3,0.590000,baseline,11,True,0.8,220,514.2050000140443,0.59,0.5193333333333333,0.5536952803493006,0.0,0.605,1,180,103,32,148,84
4,0.700000,chroma_only,11,False,0.5,,55.04639993887395,0.7,0.6966666666666668,0.7157732438392864,0.0,0.605,2,120,103,20,88,44
5,0.710000,chroma_only,11,False,0.4,,58.59029991552234,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,2,60,63,12,168,124
6,0.580000,baseline,8,False,0.6000000000000001,200,33.04549993481487,0.58,0.5183333333333333,0.5508046320861216,0.0,0.605,2,100,104,12,220,140
7,0.705000,chroma_only,7,False,0.1,,59.051599935628474,0.705,0.7016666666666667,0.7207732438392864,0.0,0.605,3,180,54,12,160,80
8,0.700000,chroma_only,6,False,0.6000000000000001,,53.96489996928722,0.7,0.6966666666666668,0.7157732438392864,0.0,0.605,1,100,34,28,80,60
9,0.580000,baseline,7,False,0.30000000000000004,200,33.51069998461753,0.58,0.5183333333333333,0.5508046320861216,0.0,0.605,2,160,84,12,220,60
10,0.595000,baseline,12,True,0.2,80,439.82929992489517,0.595,0.51975,0.5550464711214371,0.0,0.605,3,60,56,48,196,108
11,0.710000,chroma_only,4,False,0.4,,60.425000032410026,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,1,60,64,44,120,160
12,0.710000,chroma_only,4,False,0.30000000000000004,,57.41309991572052,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,3,60,64,48,120,160
13,0.710000,chroma_only,4,False,0.4,,58.23329999111593,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,1,60,74,40,180,160
14,0.710000,chroma_only,5,False,0.0,,60.76220003888011,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,2,80,44,40,120,120
15,0.710000,chroma_only,9,False,0.4,,59.65179996564984,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,2,140,87,20,180,140
16,0.710000,chroma_only,12,False,0.2,,59.891700046136975,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,1,80,66,40,136,128
17,0.710000,chroma_only,6,False,0.30000000000000004,,58.30089992377907,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,3,200,24,20,240,160
18,0.595000,baseline,9,True,0.5,320,533.1494000274688,0.595,0.5177222222222223,0.5510843125727853,0.0,0.605,1,80,47,36,120,120
19,0.710000,chroma_only,5,False,0.7000000000000001,,60.896400013007224,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,2,60,94,24,160,160
20,0.710000,chroma_only,9,False,0.2,,60.81140006426722,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,2,80,67,44,180,140
21,0.710000,chroma_only,4,False,0.4,,60.274000046774745,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,3,60,64,48,120,160
22,0.710000,chroma_only,5,False,0.30000000000000004,,61.34560005739331,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,3,60,54,44,100,160
23,0.710000,chroma_only,4,False,0.30000000000000004,,61.32379989139736,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,3,80,74,48,120,140
24,0.710000,chroma_only,6,False,0.4,,60.187699971720576,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,3,60,64,44,140,120
25,0.710000,chroma_only,5,False,0.1,,61.324300011619925,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,2,80,44,36,100,100
26,0.570000,baseline,4,True,0.5,80,441.0661000292748,0.57,0.5166666666666666,0.5472425602150415,0.0,0.605,1,140,74,16,200,160
27,0.710000,chroma_only,7,False,0.4,,58.35469998419285,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,2,60,54,36,160,140
28,0.710000,chroma_only,6,False,0.2,,59.35060000047088,0.71,0.7066666666666667,0.7257732438392864,0.0,0.605,3,120,94,44,160,160
