trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.585000,baseline,12,False,0.0,260,96.99689992703497,0.585,0.5539166666666666,0.5779512241370807,0.0,0.6,1,100,96,16,216,68
1,0.595000,baseline,12,False,0.4,260,205.70429996587336,0.595,0.5565416666666665,0.582258572680886,0.0,0.6,1,200,76,44,196,48
2,0.660000,chroma_only,5,True,0.7000000000000001,,821.0513999219984,0.66,0.6337499999999999,0.656735924165368,0.0,0.6,2,80,54,32,140,60
3,0.680000,chroma_only,5,True,0.30000000000000004,,615.9044000087306,0.68,0.6479166666666667,0.6736998704689399,0.0,0.6,2,60,84,16,220,100
4,0.580000,baseline,5,False,0.1,280,146.41250006388873,0.58,0.55375,0.5767359241653679,0.0,0.6,3,60,44,28,100,160
5,0.585000,baseline,11,True,0.4,220,590.1961999479681,0.585,0.55375,0.5777979960364482,0.0,0.6,1,80,73,20,148,124
6,0.595000,baseline,11,True,0.6000000000000001,220,702.5112999835983,0.595,0.5564722222222221,0.5821863982752773,0.0,0.6,2,100,73,48,208,104
7,0.665000,chroma_only,8,True,0.8,,855.099800042808,0.665,0.6335,0.6576689222240504,0.0,0.6,3,120,44,12,220,160
8,0.675000,chroma_only,10,False,0.0,,187.2152000432834,0.675,0.637547619047619,0.6644541839621462,0.0,0.6,3,200,40,32,180,60
9,0.585000,baseline,9,True,0.0,160,654.8394999699667,0.585,0.554375,0.5783132485492967,0.0,0.6,2,120,77,36,120,60
10,0.680000,chroma_only,7,True,0.2,,892.5834000110626,0.68,0.6439166666666667,0.6643248369693978,0.0,0.6,2,160,114,24,240,100
11,0.680000,chroma_only,7,True,0.2,,892.023199936375,0.68,0.6439166666666667,0.6643248369693978,0.0,0.6,2,160,104,24,240,100
12,0.680000,chroma_only,4,True,0.30000000000000004,,871.3699000654742,0.68,0.6441666666666667,0.6645439557235922,0.0,0.6,2,160,114,20,240,100
13,0.685000,chroma_only,7,True,0.2,,855.5392000125721,0.685,0.6445833333333333,0.6659526448043054,0.0,0.6,2,160,94,16,180,120
14,0.695000,chroma_only,6,True,0.5,,850.6641000276431,0.695,0.6568333333333334,0.6776046069274477,0.0,0.6,2,140,94,12,180,140
15,0.690000,chroma_only,7,True,0.5,,855.3086000028998,0.69,0.6495833333333333,0.6734526448043054,0.0,0.6,3,140,94,16,180,140
16,0.645000,chroma_only,6,True,0.5,,847.5549999857321,0.645,0.6126666666666667,0.6269756878047842,0.0,0.6,3,140,24,12,160,140
17,0.700000,chroma_only,8,True,0.6000000000000001,,780.0342000555247,0.7,0.6525833333333334,0.6781290497451409,0.0,0.6,3,140,94,12,80,140
18,0.705000,chroma_only,9,False,0.6000000000000001,,110.68859999068081,0.705,0.6531388888888888,0.6834434972591752,0.0,0.6,3,180,57,12,80,140
19,0.675000,chroma_only,9,False,0.7000000000000001,,221.22089995536953,0.675,0.6383333333333333,0.6644796404269896,0.0,0.6,3,180,57,40,80,160
20,0.685000,chroma_only,9,False,0.8,,159.34069990180433,0.685,0.6448888888888888,0.6724473160416566,0.0,0.6,3,180,57,24,80,120
21,0.700000,chroma_only,8,False,0.6000000000000001,,108.87900006491691,0.7,0.657547619047619,0.6855805711298288,0.0,0.6,3,140,84,12,100,140
22,0.700000,chroma_only,8,False,0.6000000000000001,,112.55170009098947,0.7,0.657547619047619,0.6855805711298288,0.0,0.6,3,180,64,12,100,140
23,0.695000,chroma_only,10,False,0.7000000000000001,,140.9061000449583,0.695,0.6458472222222222,0.6753810517531446,0.0,0.6,3,120,120,20,100,160
24,0.700000,chroma_only,8,False,0.6000000000000001,,107.58419998455793,0.7,0.6525833333333334,0.6819383472808553,0.0,0.6,3,140,84,12,80,120
25,0.695000,chroma_only,10,False,0.6000000000000001,,140.47919993754476,0.695,0.6458472222222222,0.6753810517531446,0.0,0.6,3,180,100,20,120,140
26,0.695000,chroma_only,9,False,0.5,,124.84260008204728,0.695,0.648125,0.6770582307884083,0.0,0.6,3,100,87,16,120,80
27,0.700000,chroma_only,8,False,0.7000000000000001,,111.82740004733205,0.7,0.657547619047619,0.6855805711298288,0.0,0.6,3,200,64,12,100,140
28,0.685000,chroma_only,9,False,0.8,,172.97649988904595,0.685,0.6408531746031746,0.6693331014625176,0.0,0.6,3,160,107,28,80,120
29,0.585000,baseline,11,False,0.6000000000000001,80,95.754100009799,0.585,0.5539166666666666,0.5779512241370807,0.0,0.6,1,100,83,16,108,84
30,0.690000,chroma_only,6,False,0.4,,122.55309999454767,0.69,0.6491666666666667,0.676915325130387,0.0,0.6,3,120,24,16,80,160
31,0.700000,chroma_only,8,False,0.6000000000000001,,109.73729996476322,0.7,0.657547619047619,0.6855805711298288,0.0,0.6,3,180,64,12,100,140
32,0.700000,chroma_only,8,False,0.7000000000000001,,109.69960002694279,0.7,0.657547619047619,0.6855805711298288,0.0,0.6,3,200,64,12,140,140
33,0.695000,chroma_only,8,False,0.5,,126.37189996894449,0.695,0.6502083333333333,0.6788392667239487,0.0,0.6,3,180,54,16,100,120
34,0.680000,chroma_only,7,False,0.6000000000000001,,136.63749990519136,0.68,0.6423809523809524,0.669365271158116,0.0,0.6,3,160,74,20,120,40
35,0.585000,baseline,10,False,0.7000000000000001,320,82.92099996469915,0.585,0.5541666666666667,0.578170342891275,0.0,0.6,3,140,50,12,80,160
36,0.700000,chroma_only,9,False,0.5,,128.01899993792176,0.7,0.650763888888889,0.6803444167022684,0.0,0.6,1,200,67,16,140,140
37,0.585000,baseline,7,False,0.30000000000000004,80,78.96870002150536,0.585,0.5541666666666667,0.578170342891275,0.0,0.6,3,180,34,12,100,160
38,0.705000,chroma_only,12,False,0.4,,127.16719997115433,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,3,80,86,16,116,128
39,0.695000,chroma_only,12,False,0.4,,159.03410001192242,0.695,0.6453434343434342,0.6748851899838246,0.0,0.6,3,80,86,24,116,128
40,0.595000,baseline,12,True,0.4,160,687.2265000129119,0.595,0.5565416666666665,0.582258572680886,0.0,0.6,2,60,76,44,136,128
41,0.700000,chroma_only,8,False,0.6000000000000001,,124.94759995024651,0.7,0.6505059523809524,0.6801593161809822,0.0,0.6,3,100,84,16,80,140
42,0.705000,chroma_only,11,False,0.7000000000000001,,112.91660007555038,0.705,0.6581031746031745,0.6870857211081488,0.0,0.6,3,120,93,12,108,124
43,0.700000,chroma_only,11,False,0.8,,127.00609990861267,0.7,0.650763888888889,0.6803444167022684,0.0,0.6,3,60,93,16,108,124
44,0.705000,chroma_only,12,False,0.7000000000000001,,108.9048000285402,0.705,0.6581031746031745,0.6870857211081488,0.0,0.6,3,120,106,12,116,128
45,0.700000,chroma_only,12,True,0.7000000000000001,,872.952500008978,0.7,0.6463017676767676,0.6754664689456856,0.0,0.6,3,120,106,20,136,108
46,0.685000,chroma_only,11,False,0.7000000000000001,,192.8932999726385,0.685,0.6406666666666666,0.6691685261304663,0.0,0.6,3,80,103,32,128,124
47,0.705000,chroma_only,12,True,0.8,,856.2391999876127,0.705,0.6511805555555555,0.6803863099386905,0.0,0.6,2,100,96,16,156,108
48,0.585000,baseline,11,False,0.8,140,113.08789998292923,0.585,0.55375,0.5777979960364482,0.0,0.6,1,100,113,20,168,104
49,0.705000,chroma_only,12,True,0.8,,771.1306000128388,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,80,96,16,156,108
50,0.680000,chroma_only,11,True,0.30000000000000004,,838.5546000208706,0.68,0.6419722222222223,0.6626753381798605,0.0,0.6,2,120,103,24,208,84
51,0.705000,chroma_only,12,True,0.8,,774.7350999852642,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,80,96,16,156,108
52,0.705000,chroma_only,12,True,0.8,,775.2575000049546,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,80,96,16,156,108
53,0.705000,chroma_only,12,True,0.8,,846.5775999939069,0.705,0.6581031746031745,0.6857764235724342,0.0,0.6,2,100,96,12,196,108
54,0.685000,chroma_only,11,True,0.7000000000000001,,849.7068999568,0.685,0.640246212121212,0.6681063283070311,0.0,0.6,2,80,103,36,168,124
55,0.685000,chroma_only,12,True,0.7000000000000001,,831.3721000449732,0.685,0.637135101010101,0.6648118201778286,0.0,0.6,1,100,86,20,156,88
56,0.705000,chroma_only,11,True,0.8,,845.9319999674335,0.705,0.6581031746031745,0.6857764235724342,0.0,0.6,2,120,113,12,128,124
57,0.705000,chroma_only,12,False,0.7000000000000001,,125.02749997656792,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,60,96,16,116,108
58,0.695000,chroma_only,10,True,0.1,,786.3307999214157,0.695,0.6458472222222222,0.6753810517531446,0.0,0.6,2,80,120,20,140,120
59,0.705000,chroma_only,11,False,0.8,,109.93499995674938,0.705,0.6581031746031745,0.6870857211081488,0.0,0.6,2,120,93,12,168,124
60,0.685000,chroma_only,12,True,0.8,,871.0916999261826,0.685,0.6479365079365078,0.6731875107684043,0.0,0.6,1,100,76,12,116,108
61,0.705000,chroma_only,12,True,0.8,,770.7896999781951,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,80,96,16,156,108
62,0.705000,chroma_only,12,True,0.8,,771.7781000537798,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,80,86,16,156,108
63,0.700000,chroma_only,12,True,0.7000000000000001,,617.5871000159532,0.7,0.6486805555555556,0.6785409587065478,0.0,0.6,2,60,106,16,156,88
64,0.695000,chroma_only,11,True,0.7000000000000001,,840.5835999874398,0.695,0.6514365079365078,0.6782764235724342,0.0,0.6,2,100,93,12,188,124
65,0.700000,chroma_only,12,True,0.8,,786.7277000332251,0.7,0.6463017676767676,0.6767757664814001,0.0,0.6,2,80,86,20,136,108
66,0.700000,chroma_only,11,False,0.7000000000000001,,125.28949999250472,0.7,0.650763888888889,0.6803444167022684,0.0,0.6,3,100,103,16,168,124
67,0.675000,chroma_only,4,False,0.4,,172.59000008925796,0.675,0.6420833333333333,0.6680066360496737,0.0,0.6,3,120,94,28,140,140
68,0.585000,baseline,10,True,0.8,120,558.413999970071,0.585,0.5541666666666667,0.578170342891275,0.0,0.6,2,60,110,12,180,140
69,0.705000,chroma_only,12,False,0.8,,127.40220001433045,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,3,100,86,16,156,108
70,0.700000,chroma_only,12,False,0.7000000000000001,,108.76179998740554,0.7,0.6556031746031745,0.6839310723402915,0.0,0.6,3,80,96,12,116,88
71,0.705000,chroma_only,12,True,0.8,,772.1533000003546,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,80,96,16,156,108
72,0.705000,chroma_only,12,True,0.8,,770.7388999406248,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,80,96,16,156,108
73,0.700000,chroma_only,11,True,0.7000000000000001,,786.3848999841139,0.7,0.6463017676767676,0.6767757664814001,0.0,0.6,2,80,103,20,168,124
74,0.705000,chroma_only,12,True,0.8,,605.1742000272498,0.705,0.6581031746031745,0.6870857211081488,0.0,0.6,2,60,96,12,156,108
75,0.680000,chroma_only,12,True,0.5,,899.715399951674,0.68,0.6382142857142857,0.6653698447206198,0.0,0.6,2,80,86,48,136,108
76,0.670000,chroma_only,11,True,0.8,,868.5938999988139,0.67,0.638095238095238,0.6622226402890681,0.0,0.6,2,140,43,16,168,124
77,0.695000,chroma_only,12,False,0.6000000000000001,,104.45260000415146,0.695,0.6547142857142858,0.6820902105580209,0.0,0.6,2,100,96,12,116,68
78,0.700000,chroma_only,11,False,0.7000000000000001,,125.99530001170933,0.7,0.6508035714285714,0.6803915641217418,0.0,0.6,2,120,103,16,88,124
79,0.585000,baseline,10,True,0.4,200,558.5082999896258,0.585,0.5541666666666667,0.578170342891275,0.0,0.6,3,100,80,12,100,140
80,0.685000,chroma_only,12,False,0.7000000000000001,,207.50310004223138,0.685,0.640246212121212,0.6681063283070311,0.0,0.6,2,140,96,36,136,108
81,0.705000,chroma_only,12,True,0.8,,839.917799923569,0.705,0.6581031746031745,0.6857764235724342,0.0,0.6,2,120,96,12,196,108
82,0.705000,chroma_only,12,True,0.8,,754.5712999999523,0.705,0.6581031746031745,0.6870857211081488,0.0,0.6,2,80,96,12,216,108
83,0.690000,chroma_only,12,True,0.8,,899.8381000710651,0.69,0.6440101010101009,0.6713891445617571,0.0,0.6,3,100,86,20,196,108
84,0.705000,chroma_only,11,True,0.8,,839.6276000421494,0.705,0.6581031746031745,0.6870857211081488,0.0,0.6,3,100,103,12,228,124
85,0.700000,chroma_only,12,True,0.8,,770.019100047648,0.7,0.6486805555555556,0.6785409587065478,0.0,0.6,2,80,96,16,156,88
86,0.700000,chroma_only,11,False,0.7000000000000001,,129.05650003813207,0.7,0.650763888888889,0.6803444167022684,0.0,0.6,3,120,103,16,168,124
87,0.695000,chroma_only,12,True,0.4,,873.7597999861464,0.695,0.6511507936507936,0.6730088262029281,0.0,0.6,2,100,86,12,116,108
88,0.705000,chroma_only,12,False,0.30000000000000004,,110.68719998002052,0.705,0.6581031746031745,0.6870857211081488,0.0,0.6,3,60,96,12,156,108
89,0.700000,chroma_only,11,True,0.7000000000000001,,767.6991999614984,0.7,0.6508035714285714,0.6803915641217418,0.0,0.6,1,80,103,16,88,124
90,0.705000,chroma_only,12,False,0.8,,124.41089993808419,0.705,0.6511805555555555,0.6816956074744049,0.0,0.6,2,120,76,16,196,108
91,0.705000,chroma_only,11,True,0.8,,844.8557000374421,0.705,0.6581031746031745,0.6857764235724342,0.0,0.6,2,120,113,12,128,124
92,0.705000,chroma_only,9,True,0.8,,849.4214999955148,0.705,0.6581031746031745,0.6857764235724342,0.0,0.6,2,140,117,12,140,140
93,0.705000,chroma_only,10,True,0.8,,843.1872999062762,0.705,0.6581031746031745,0.6857764235724342,0.0,0.6,2,120,110,12,100,140
94,0.700000,chroma_only,11,True,0.8,,877.9983000131324,0.7,0.6463017676767676,0.6754664689456856,0.0,0.6,2,120,103,20,128,124
