trial,score,strategy,k,use_mmr,lam,candidate_k,p95,recall@k,mrr,ndcg,dup,recall50_raw,RAG_TITLE_CAP,RAG_MMR_PRE_K,RAG_MMR_K,RAG_RERANK_IN,RAG_FETCH_K,RAG_FETCH_K_AUX
0,0.373333,chroma_only,11,False,0.30000000000000004,,46.97710007894784,0.48333333333333334,0.3700396825396825,0.3980486957694801,0.13333333333333325,0.48333333333333334,1,180,103,44,220,44
1,0.353333,chroma_only,5,False,0.7000000000000001,,46.39789997600019,0.45,0.3652777777777778,0.386937584658369,0.06666666666666665,0.48333333333333334,2,200,104,32,220,160
2,0.405000,chroma_only,7,True,0.5,,86.1915999557823,0.5166666666666667,0.4218253968253968,0.4458306934722256,0.08333333333333333,0.48333333333333334,3,140,74,48,240,60
3,0.363095,chroma_only,7,False,0.30000000000000004,,66.78330001886934,0.4666666666666667,0.3676587301587302,0.39249314021392456,0.10238095238095239,0.48333333333333334,2,120,24,24,200,60
4,0.374000,chroma_only,10,False,0.7000000000000001,,66.48669997230172,0.48333333333333334,0.3687962962962963,0.3967724983580668,0.12666666666666665,0.48333333333333334,3,160,90,44,220,160
5,0.351667,chroma_only,6,False,0.2,,74.06410004477948,0.45,0.3652777777777778,0.386937584658369,0.08333333333333331,0.48333333333333334,2,60,44,40,220,100
6,0.394667,chroma_only,5,True,0.2,,95.64620000310242,0.5,0.41944444444444445,0.44027513791667006,0.05333333333333332,0.48333333333333334,1,80,74,24,180,60
7,0.374444,chroma_only,9,False,0.8,,47.22810001112521,0.48333333333333334,0.3704365079365079,0.3984299266657249,0.12222222222222226,0.48333333333333334,3,200,117,24,240,40
8,0.414091,chroma_only,11,True,0.2,,100.22609995212406,0.5333333333333333,0.4259920634920635,0.45300863610678216,0.12575757575757568,0.48333333333333334,1,120,73,20,140,44
9,0.377381,chroma_only,7,True,0.2,,88.08090002276003,0.48333333333333334,0.4375,0.4492399262059871,0.09285714285714287,0.48333333333333334,3,140,54,48,220,140
10,0.400833,chroma_only,12,True,0.0,,92.49139996245503,0.5166666666666667,0.45305555555555554,0.46805036658385063,0.12500000000000003,0.48333333333333334,1,100,56,12,120,108
11,0.402963,chroma_only,9,True,0.5,,94.60849990136921,0.5166666666666667,0.4215277777777778,0.44553288586309886,0.10370370370370369,0.48333333333333334,2,120,77,16,140,80
12,0.349583,chroma_only,8,True,0.5,,71.43709994852543,0.45,0.3652777777777778,0.386937584658369,0.10416666666666667,0.48333333333333334,1,140,134,32,160,80
13,0.427361,chroma_only,12,True,0.0,,90.8583999844268,0.55,0.4388888888888889,0.46594974306424736,0.12638888888888886,0.48333333333333334,3,100,66,16,100,68
14,0.427361,chroma_only,12,True,0.0,,88.89999997336417,0.55,0.4388888888888889,0.46594974306424736,0.12638888888888886,0.48333333333333334,2,100,66,16,100,68
15,0.413194,chroma_only,12,True,0.0,,91.96510002948344,0.5333333333333333,0.4375,0.46144577382379204,0.13472222222222216,0.48333333333333334,2,80,66,12,80,88
16,0.376515,chroma_only,11,True,0.0,,81.2595000024885,0.48333333333333334,0.42851851851851847,0.4413814013782707,0.10151515151515146,0.48333333333333334,3,100,43,16,100,64
17,0.414861,chroma_only,12,True,0.1,,76.38910005334765,0.5333333333333333,0.45583333333333337,0.474061893236253,0.11805555555555557,0.48333333333333334,2,60,36,28,80,108
18,0.401833,chroma_only,10,True,0.1,,84.7688999492675,0.5166666666666667,0.4638888888888889,0.47757747946428813,0.11499999999999998,0.48333333333333334,3,100,60,16,120,120
19,0.409167,chroma_only,4,True,0.1,,83.54539994616061,0.5166666666666667,0.4638888888888889,0.47757747946428813,0.041666666666666664,0.48333333333333334,2,80,64,36,100,80
20,0.403167,chroma_only,10,True,0.4,,76.63729996420443,0.5166666666666667,0.44682539682539685,0.4642842057936527,0.10166666666666666,0.48333333333333334,3,100,50,20,140,40
21,0.414861,chroma_only,12,True,0.1,,74.04640002641827,0.5333333333333333,0.45583333333333337,0.474061893236253,0.11805555555555557,0.48333333333333334,2,60,36,28,80,108
22,0.401667,chroma_only,12,True,0.0,,75.52990003023297,0.5166666666666667,0.4465151515151515,0.4624976976500213,0.11666666666666667,0.48333333333333334,2,60,36,20,100,128
23,0.415909,chroma_only,11,True,0.1,,82.3689999524504,0.5333333333333333,0.43762626262626264,0.4615908536775223,0.10757575757575752,0.48333333333333334,2,80,63,28,80,84
24,0.389091,chroma_only,11,True,0.0,,81.73269999679178,0.5,0.4277777777777778,0.4464263086904791,0.10909090909090903,0.48333333333333334,2,80,63,12,120,64
25,0.390370,chroma_only,9,True,0.1,,85.70139994844794,0.5,0.4277777777777778,0.4464263086904791,0.09629629629629634,0.48333333333333334,2,100,67,36,120,80
26,0.401667,chroma_only,11,True,0.0,,83.6835999507457,0.5166666666666667,0.4638888888888889,0.47757747946428813,0.11666666666666657,0.48333333333333334,3,80,63,16,100,84
27,0.429500,chroma_only,10,True,0.30000000000000004,,85.76280006673187,0.55,0.4278439153439153,0.45802580270118187,0.10499999999999998,0.48333333333333334,2,120,80,20,160,60
28,0.401833,chroma_only,10,True,0.30000000000000004,,88.53099995758384,0.5166666666666667,0.4176587301587302,0.44249314021392455,0.11499999999999999,0.48333333333333334,2,120,90,20,160,60
29,0.373333,chroma_only,11,False,0.4,,42.75030002463609,0.48333333333333334,0.3700396825396825,0.3980486957694801,0.13333333333333325,0.48333333333333334,1,160,103,12,200,44
